Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-11T10:53:02,67773,3046,49134,30.9756,112.2707
,Italy,2020-03-11T10:53:02,12462,827,1045,43.0000,12.0000
,Iran,2020-03-11T10:53:03,9000,354,2959,32.0000,53.0000
,"Korea, South",2020-03-11T10:53:03,7755,60,288,36.0000,128.0000
France,France,2020-03-11T10:53:04,2281,48,12,46.2276,2.2137
,Spain,2020-03-11T10:53:04,2277,54,183,40.0000,-4.0000
,Germany,2020-03-11T10:53:05,1908,3,25,51.0000,9.0000
Guangdong,China,2020-03-11T10:53:05,1356,8,1282,23.3417,113.4244
Henan,China,2020-03-11T10:53:06,1273,22,1249,33.8820,113.6140
Zhejiang,China,2020-03-11T10:53:06,1215,1,1195,29.1832,120.0934
Hunan,China,2020-03-11T10:53:07,1018,4,995,27.6104,111.7088
Anhui,China,2020-03-11T10:53:07,990,6,984,31.8257,117.2264
Jiangxi,China,2020-03-11T10:53:08,935,1,932,27.6140,115.7221
Shandong,China,2020-03-11T10:53:08,760,6,726,36.3427,118.1498
Diamond Princess,Cruise Ship,2020-03-11T10:53:09,696,7,325,35.4437,139.6380
,Switzerland,2020-03-11T10:53:09,652,4,4,46.8182,8.2275
,Japan,2020-03-11T10:53:10,639,15,118,36.0000,138.0000
Jiangsu,China,2020-03-11T10:53:10,631,0,627,32.9711,119.4550
,Norway,2020-03-11T10:53:11,598,0,1,60.4720,8.4689
Chongqing,China,2020-03-11T10:53:11,576,6,554,30.0572,107.8740
Sichuan,China,2020-03-11T10:53:12,539,3,488,30.6171,102.7103
,Netherlands,2020-03-11T10:53:12,503,5,0,52.1326,5.2913
,Sweden,2020-03-11T10:53:13,500,1,1,63.0000,16.0000
Heilongjiang,China,2020-03-11T10:53:13,482,13,436,47.8620,127.7615
UK,United Kingdom,2020-03-11T10:53:14,456,8,18,55.3781,-3.4360
Denmark,Denmark,2020-03-11T10:53:14,442,0,1,56.2639,9.5018
Beijing,China,2020-03-11T10:53:15,435,8,326,40.1824,116.4142
Washington,US,2020-03-11T10:53:15,366,29,1,47.4009,-121.4905
Shanghai,China,2020-03-11T10:53:16,344,3,320,31.2020,121.4491
Hebei,China,2020-03-11T10:53:16,318,6,307,39.5490,116.1306
,Belgium,2020-03-11T10:53:17,314,3,1,50.8333,4.0000
Fujian,China,2020-03-11T10:53:17,296,1,295,26.0789,117.9874
,Qatar,2020-03-11T10:53:18,262,0,0,25.3548,51.1839
Guangxi,China,2020-03-11T10:53:18,252,2,238,23.8298,108.7881
,Austria,2020-03-11T10:53:19,246,0,4,47.5162,14.5501
Shaanxi,China,2020-03-11T10:53:19,245,1,232,35.1917,108.8701
New York,US,2020-03-11T10:53:20,220,0,0,42.1657,-74.9481
,Bahrain,2020-03-11T10:53:20,195,0,35,26.0275,50.5500
,Singapore,2020-03-11T10:53:21,178,0,96,1.2833,103.8333
California,US,2020-03-11T10:53:21,177,3,2,36.1162,-119.6816
Yunnan,China,2020-03-11T10:53:22,174,2,170,24.9740,101.4870
Hainan,China,2020-03-11T10:53:22,168,6,159,19.1959,109.7453
,Malaysia,2020-03-11T10:53:23,149,0,26,2.5000,112.5000
Guizhou,China,2020-03-11T10:53:23,146,2,133,26.8154,106.8748
Tianjin,China,2020-03-11T10:53:24,136,3,131,39.3054,117.3230
Shanxi,China,2020-03-11T10:53:24,133,0,131,37.5777,112.2922
Gansu,China,2020-03-11T10:53:25,127,2,88,37.8099,101.0583
Hong Kong,China,2020-03-11T10:53:25,126,3,65,22.3000,114.2000
Liaoning,China,2020-03-11T10:53:26,125,1,111,41.2956,122.6085
,Israel,2020-03-11T10:53:26,109,0,4,31.0000,35.0000
,Greece,2020-03-11T10:53:27,99,1,0,39.0742,21.8243
Massachusetts,US,2020-03-11T10:53:27,95,0,1,42.2302,-71.5301
Jilin,China,2020-03-11T10:53:28,93,1,91,43.6661,126.1923
,Czechia,2020-03-11T10:53:28,91,0,0,49.8175,15.4730
,Iceland,2020-03-11T10:53:29,85,0,1,64.9631,-19.0208
Xinjiang,China,2020-03-11T10:53:29,76,3,73,41.1129,85.2401
Inner Mongolia,China,2020-03-11T10:53:30,75,1,71,44.0935,113.9448
Ningxia,China,2020-03-11T10:53:30,75,0,72,37.2692,106.1655
,United Arab Emirates,2020-03-11T10:53:31,74,0,17,23.4241,53.8478
,Kuwait,2020-03-11T10:53:31,72,0,2,29.5000,47.7500
,Iraq,2020-03-11T10:53:32,71,7,15,33.0000,44.0000
New South Wales,Australia,2020-03-11T10:53:32,65,2,4,-33.8688,151.2093
,India,2020-03-11T10:53:33,62,1,4,21.0000,78.0000
,San Marino,2020-03-11T10:53:33,62,2,0,43.9424,12.4578
,Lebanon,2020-03-11T10:53:34,61,3,1,33.8547,35.8623
,Egypt,2020-03-11T10:53:34,60,1,27,26.0000,30.0000
,Finland,2020-03-11T10:53:35,59,0,1,64.0000,26.0000
,Portugal,2020-03-11T10:53:35,59,0,0,39.3999,-8.2245
,Thailand,2020-03-11T10:53:36,59,1,34,15.8700,100.9925
,Slovenia,2020-03-11T10:53:36,57,0,0,46.1512,14.9955
,Philippines,2020-03-11T10:53:37,49,1,2,12.8797,121.7740
,Taiwan*,2020-03-11T10:53:37,48,1,17,23.7000,121.0000
Diamond Princess,US,2020-03-11T10:53:38,46,0,0,35.4437,139.6380
,Romania,2020-03-11T10:53:38,45,0,6,46.0000,25.0000
,Ireland,2020-03-11T10:53:39,43,1,0,53.1424,-7.6921
Ontario,Canada,2020-03-11T10:53:39,41,0,4,51.2538,-85.3232
British Columbia,Canada,2020-03-11T10:53:40,39,1,4,53.7267,-127.6476
,Brazil,2020-03-11T10:53:40,38,0,0,-14.2350,-51.9253
,Vietnam,2020-03-11T10:53:41,38,0,16,16.0000,108.0000
,Indonesia,2020-03-11T10:53:41,34,1,2,-0.7893,113.9213
Colorado,US,2020-03-11T10:53:42,34,0,0,39.0598,-105.3111
,Poland,2020-03-11T10:53:42,31,0,0,51.9194,19.1451
Florida,US,2020-03-11T10:53:43,28,2,0,27.7663,-81.6868
Illinois,US,2020-03-11T10:53:43,25,0,2,40.3495,-88.9861
,Georgia,2020-03-11T10:53:44,24,0,0,42.3154,43.3569
,Chile,2020-03-11T10:53:44,23,0,0,-35.6751,-71.5430
Georgia,US,2020-03-11T10:53:45,23,0,0,33.0406,-83.6431
New Jersey,US,2020-03-11T10:53:45,23,1,0,40.2989,-74.5210
Victoria,Australia,2020-03-11T10:53:46,21,0,7,-37.8136,144.9631
,Saudi Arabia,2020-03-11T10:53:46,21,0,1,24.0000,45.0000
Grand Princess,US,2020-03-11T10:53:47,21,0,0,37.6489,-122.6655
Texas,US,2020-03-11T10:53:47,21,0,0,31.0545,-97.5635
,Algeria,2020-03-11T10:53:48,20,0,0,28.0339,1.6596
Queensland,Australia,2020-03-11T10:53:48,20,0,8,-28.0167,153.4000
,Russia,2020-03-11T10:53:49,20,0,3,60.0000,90.0000
,Argentina,2020-03-11T10:53:49,19,1,0,-38.4161,-63.6167
Alberta,Canada,2020-03-11T10:53:50,19,0,0,53.9333,-116.5765
,Croatia,2020-03-11T10:53:50,19,0,0,45.1667,15.5000
,Pakistan,2020-03-11T10:53:51,19,0,2,30.3753,69.3451
Oregon,US,2020-03-11T10:53:51,19,0,0,44.5720,-122.0709
Qinghai,China,2020-03-11T10:53:52,18,0,18,35.7452,95.9956
,Oman,2020-03-11T10:53:52,18,0,9,21.0000,57.0000
,Ecuador,2020-03-11T10:53:53,17,0,0,-1.8312,-78.1834
,Estonia,2020-03-11T10:53:53,16,0,0,58.5953,25.0136
Pennsylvania,US,2020-03-11T10:53:54,16,0,0,40.5908,-77.2098
,Costa Rica,2020-03-11T10:53:54,13,0,0,9.7489,-83.7534
,Hungary,2020-03-11T10:53:55,13,0,0,47.1625,19.5033
,South Africa,2020-03-11T10:53:55,13,0,0,-30.5595,22.9375
Iowa,US,2020-03-11T10:53:56,13,0,0,42.0115,-93.2105
,Albania,2020-03-11T10:53:56,12,1,0,41.1533,20.1683
,Serbia,2020-03-11T10:53:57,12,0,0,44.0165,21.0059
,Azerbaijan,2020-03-11T10:53:57,11,0,3,40.1431,47.5769
,Brunei,2020-03-11T10:53:58,11,0,0,4.5353,114.7277
,Peru,2020-03-11T10:53:58,11,0,0,-9.1900,-75.0152
Indiana,US,2020-03-11T10:53:59,11,0,0,39.8494,-86.2583
Macau,China,2020-03-11T10:53:59,10,0,10,22.1667,113.5500
