Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-26T14:13:10,65187,2615,20969
Guangdong,Mainland China,2020-02-26T14:13:10,1347,7,851
Henan,Mainland China,2020-02-26T14:13:11,1271,19,1033
,South Korea,2020-02-26T14:13:11,1261,12,22
Zhejiang,Mainland China,2020-02-26T14:13:12,1205,1,867
Hunan,Mainland China,2020-02-26T14:13:12,1016,4,783
Anhui,Mainland China,2020-02-26T14:13:13,989,6,744
Jiangxi,Mainland China,2020-02-26T14:13:13,934,1,719
Shandong,Mainland China,2020-02-26T14:13:14,756,6,377
Diamond Princess cruise ship,Others,2020-02-26T14:13:14,705,4,10
Jiangsu,Mainland China,2020-02-26T14:13:15,631,0,478
Chongqing,Mainland China,2020-02-26T14:13:15,576,6,384
Sichuan,Mainland China,2020-02-26T14:13:16,531,3,307
Heilongjiang,Mainland China,2020-02-26T14:13:16,480,12,249
,Italy,2020-02-26T14:13:17,453,12,3
Beijing,Mainland China,2020-02-26T14:13:17,400,4,235
Shanghai,Mainland China,2020-02-26T14:13:18,337,3,272
Hebei,Mainland China,2020-02-26T14:13:18,312,6,261
Fujian,Mainland China,2020-02-26T14:13:19,294,1,218
Guangxi,Mainland China,2020-02-26T14:13:19,252,2,147
Shaanxi,Mainland China,2020-02-26T14:13:20,245,1,192
,Japan,2020-02-26T14:13:20,189,2,22
Yunnan,Mainland China,2020-02-26T14:13:21,174,2,144
Hainan,Mainland China,2020-02-26T14:13:21,168,5,129
Guizhou,Mainland China,2020-02-26T14:13:22,146,2,104
,Iran,2020-02-26T14:13:22,139,19,49
Tianjin,Mainland China,2020-02-26T14:13:23,135,3,96
Shanxi,Mainland China,2020-02-26T14:13:23,133,0,104
Liaoning,Mainland China,2020-02-26T14:13:24,121,1,88
Jilin,Mainland China,2020-02-26T14:13:24,93,1,65
,Singapore,2020-02-26T14:13:25,93,0,62
Hong Kong,Hong Kong,2020-02-26T14:13:25,91,2,24
Gansu,Mainland China,2020-02-26T14:13:26,91,2,81
Xinjiang,Mainland China,2020-02-26T14:13:26,76,2,34
Inner Mongolia,Mainland China,2020-02-26T14:13:27,75,0,38
Ningxia,Mainland China,2020-02-26T14:13:27,71,0,65
Unassigned Location (From Diamond Princess),US,2020-02-26T14:13:28,42,0,0
,Thailand,2020-02-26T14:13:28,40,0,22
,Bahrain,2020-02-26T14:13:29,33,0,0
Taiwan,Taiwan,2020-02-26T14:13:29,32,1,5
,Germany,2020-02-26T14:13:30,27,0,15
,Kuwait,2020-02-26T14:13:30,26,0,0
,Malaysia,2020-02-26T14:13:31,22,0,18
,France,2020-02-26T14:13:31,18,2,11
Qinghai,Mainland China,2020-02-26T14:13:32,18,0,18
,Vietnam,2020-02-26T14:13:32,16,0,16
,Spain,2020-02-26T14:13:33,13,0,2
,UK,2020-02-26T14:13:33,13,0,8
,United Arab Emirates,2020-02-26T14:13:34,13,0,4
Macau,Macau,2020-02-26T14:13:34,10,0,7
From Diamond Princess,Australia,2020-02-26T14:13:35,7,0,0
British Columbia,Canada,2020-02-26T14:13:35,7,0,0
Queensland,Australia,2020-02-26T14:13:36,5,0,1
,Iraq,2020-02-26T14:13:36,5,0,0
New South Wales,Australia,2020-02-26T14:13:37,4,0,4
Victoria,Australia,2020-02-26T14:13:37,4,0,4
,Oman,2020-02-26T14:13:38,4,0,0
"Toronto, ON",Canada,2020-02-26T14:13:38,3,0,2
,Croatia,2020-02-26T14:13:39,3,0,0
,India,2020-02-26T14:13:39,3,0,3
