Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-16T23:53:01,58182,1696,6639
Guangdong,Mainland China,2020-02-16T23:53:01,1316,2,465
Henan,Mainland China,2020-02-16T23:53:01,1231,13,440
Zhejiang,Mainland China,2020-02-16T23:53:02,1167,0,456
Hunan,Mainland China,2020-02-16T23:53:02,1004,3,464
Anhui,Mainland China,2020-02-16T23:53:02,962,6,255
Jiangxi,Mainland China,2020-02-16T23:53:03,925,1,240
Jiangsu,Mainland China,2020-02-16T23:53:03,617,0,218
Chongqing,Mainland China,2020-02-16T23:53:03,551,5,207
Shandong,Mainland China,2020-02-16T23:53:04,537,2,173
Sichuan,Mainland China,2020-02-16T23:53:04,481,3,131
Heilongjiang,Mainland China,2020-02-16T23:53:04,445,11,79
Beijing,Mainland China,2020-02-16T23:53:05,380,4,108
Diamond Princess cruise ship,Others,2020-02-16T23:53:05,355,0,0
Shanghai,Mainland China,2020-02-16T23:53:05,328,1,140
Hebei,Mainland China,2020-02-16T23:53:06,300,3,105
Fujian,Mainland China,2020-02-16T23:53:06,287,0,82
Guangxi,Mainland China,2020-02-16T23:53:06,237,2,49
Shaanxi,Mainland China,2020-02-16T23:53:07,236,0,71
Yunnan,Mainland China,2020-02-16T23:53:07,171,0,42
Hainan,Mainland China,2020-02-16T23:53:07,162,4,52
Guizhou,Mainland China,2020-02-16T23:53:08,144,1,46
Shanxi,Mainland China,2020-02-16T23:53:08,129,0,50
Tianjin,Mainland China,2020-02-16T23:53:08,124,3,45
Liaoning,Mainland China,2020-02-16T23:53:09,121,1,40
Gansu,Mainland China,2020-02-16T23:53:09,90,2,54
Jilin,Mainland China,2020-02-16T23:53:09,89,1,30
,Singapore,2020-02-16T23:53:10,75,0,18
Xinjiang,Mainland China,2020-02-16T23:53:10,71,1,12
Inner Mongolia,Mainland China,2020-02-16T23:53:10,70,0,8
Ningxia,Mainland China,2020-02-16T23:53:11,70,0,33
,Japan,2020-02-16T23:53:11,59,1,12
Hong Kong,Hong Kong,2020-02-16T23:53:11,57,1,2
,Thailand,2020-02-16T23:53:12,34,0,14
,South Korea,2020-02-16T23:53:12,29,0,9
,Malaysia,2020-02-16T23:53:12,22,0,7
Taiwan,Taiwan,2020-02-16T23:53:13,20,1,2
Qinghai,Mainland China,2020-02-16T23:53:13,18,0,13
,Germany,2020-02-16T23:53:13,16,0,1
,Vietnam,2020-02-16T23:53:14,16,0,7
,France,2020-02-16T23:53:14,12,1,4
Macau,Macau,2020-02-16T23:53:14,10,0,5
,UK,2020-02-16T23:53:15,9,0,8
,United Arab Emirates,2020-02-16T23:53:15,9,0,4
Queensland,Australia,2020-02-16T23:53:15,5,0,0
New South Wales,Australia,2020-02-16T23:53:16,4,0,4
Victoria,Australia,2020-02-16T23:53:16,4,0,4
British Columbia,Canada,2020-02-16T23:53:16,4,0,0
,India,2020-02-16T23:53:17,3,0,3
,Italy,2020-02-16T23:53:17,3,0,0
,Philippines,2020-02-16T23:53:17,3,1,1
South Australia,Australia,2020-02-16T23:53:18,2,0,0
"Toronto, ON",Canada,2020-02-16T23:53:18,2,0,0
,Russia,2020-02-16T23:53:18,2,0,2
,Spain,2020-02-16T23:53:19,2,0,2
"Chicago, IL",US,2020-02-16T23:53:19,2,0,2
"San Benito, CA",US,2020-02-16T23:53:19,2,0,0
"San Diego County, CA",US,2020-02-16T23:53:20,2,0,0
"Santa Clara, CA",US,2020-02-16T23:53:20,2,0,0
,Belgium,2020-02-16T23:53:20,1,0,0
,Cambodia,2020-02-16T23:53:21,1,0,1
"London, ON",Canada,2020-02-16T23:53:21,1,0,1
,Egypt,2020-02-16T23:53:21,1,0,0
,Finland,2020-02-16T23:53:22,1,0,1
Tibet,Mainland China,2020-02-16T23:53:22,1,0,1
,Nepal,2020-02-16T23:53:22,1,0,1
,Sri Lanka,2020-02-16T23:53:23,1,0,1
,Sweden,2020-02-16T23:53:23,1,0,0
"Boston, MA",US,2020-02-16T23:53:23,1,0,0
"Los Angeles, CA",US,2020-02-16T23:53:24,1,0,0
"Madison, WI",US,2020-02-16T23:53:24,1,0,0
"Orange, CA",US,2020-02-16T23:53:24,1,0,0
"San Antonio, TX",US,2020-02-16T23:53:25,1,0,0
"Seattle, WA",US,2020-02-16T23:53:25,1,0,1
"Tempe, AZ",US,2020-02-16T23:53:25,1,0,0
