Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-01T10:13:19,66907,2761,31536,30.9756,112.2707
,South Korea,2020-03-01T10:13:19,3736,17,30,36.0000,128.0000
,Italy,2020-03-01T10:13:20,1694,34,83,43.0000,12.0000
Guangdong,Mainland China,2020-03-01T10:13:20,1349,7,1016,23.3417,113.4244
Henan,Mainland China,2020-03-01T10:13:21,1272,22,1198,33.8820,113.6140
Zhejiang,Mainland China,2020-03-01T10:13:21,1205,1,1046,29.1832,120.0934
Hunan,Mainland China,2020-03-01T10:13:22,1018,4,866,27.6104,111.7088
Anhui,Mainland China,2020-03-01T10:13:22,990,6,873,31.8257,117.2264
,Iran,2020-03-01T10:13:23,978,54,175,32.0000,53.0000
Jiangxi,Mainland China,2020-03-01T10:13:23,935,1,831,27.6140,115.7221
Shandong,Mainland China,2020-03-01T10:13:24,758,6,443,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-01T10:13:24,705,6,10,35.4437,139.6380
Jiangsu,Mainland China,2020-03-01T10:13:25,631,0,536,32.9711,119.4550
Chongqing,Mainland China,2020-03-01T10:13:25,576,6,450,30.0572,107.8740
Sichuan,Mainland China,2020-03-01T10:13:26,538,3,365,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-01T10:13:26,480,13,342,47.8620,127.7615
Beijing,Mainland China,2020-03-01T10:13:27,413,8,276,40.1824,116.4142
Shanghai,Mainland China,2020-03-01T10:13:27,337,3,290,31.2020,121.4491
Hebei,Mainland China,2020-03-01T10:13:28,318,6,294,38.0428,114.5149
Fujian,Mainland China,2020-03-01T10:13:28,296,1,247,26.0789,117.9874
,Japan,2020-03-01T10:13:29,256,6,32,36.0000,138.0000
Guangxi,Mainland China,2020-03-01T10:13:29,252,2,181,23.8298,108.7881
Shaanxi,Mainland China,2020-03-01T10:13:30,245,1,208,35.1917,108.8701
Yunnan,Mainland China,2020-03-01T10:13:30,174,2,163,24.9740,101.4870
Hainan,Mainland China,2020-03-01T10:13:31,168,5,149,19.1959,109.7453
Guizhou,Mainland China,2020-03-01T10:13:31,146,2,112,26.8154,106.8748
Tianjin,Mainland China,2020-03-01T10:13:32,136,3,111,39.3054,117.3230
Shanxi,Mainland China,2020-03-01T10:13:32,133,0,116,37.5777,112.2922
,France,2020-03-01T10:13:33,130,2,12,47.0000,2.0000
,Germany,2020-03-01T10:13:33,130,0,16,51.0000,9.0000
Liaoning,Mainland China,2020-03-01T10:13:34,122,1,103,41.2956,122.6085
,Singapore,2020-03-01T10:13:34,106,0,72,1.2833,103.8333
Hong Kong,Hong Kong,2020-03-01T10:13:35,96,2,36,22.3000,114.2000
Jilin,Mainland China,2020-03-01T10:13:35,93,1,78,43.6661,126.1923
Gansu,Mainland China,2020-03-01T10:13:36,91,2,84,36.0611,103.8343
,Spain,2020-03-01T10:13:36,84,0,2,40.0000,-4.0000
Xinjiang,Mainland China,2020-03-01T10:13:37,76,3,64,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-01T10:13:37,75,0,52,44.0935,113.9448
Ningxia,Mainland China,2020-03-01T10:13:38,73,0,69,37.2692,106.1655
,Bahrain,2020-03-01T10:13:38,47,0,0,26.0275,50.5500
,Kuwait,2020-03-01T10:13:39,45,0,0,29.5000,47.7500
Unassigned Location (From Diamond Princess),US,2020-03-01T10:13:39,44,0,0,35.4437,139.6380
,Thailand,2020-03-01T10:13:40,42,1,28,15.0000,101.0000
Taiwan,Taiwan,2020-03-01T10:13:40,40,1,9,23.7000,121.0000
,UK,2020-03-01T10:13:41,36,0,8,55.0000,-3.0000
,Malaysia,2020-03-01T10:13:41,29,0,18,2.5000,112.5000
,Switzerland,2020-03-01T10:13:42,27,0,0,46.8182,8.2275
,United Arab Emirates,2020-03-01T10:13:42,21,0,5,24.0000,54.0000
,Iraq,2020-03-01T10:13:43,19,0,0,33.0000,44.0000
,Norway,2020-03-01T10:13:43,19,0,0,60.4720,8.4689
Qinghai,Mainland China,2020-03-01T10:13:44,18,0,18,35.7452,95.9956
,Vietnam,2020-03-01T10:13:44,16,0,16,16.0000,108.0000
