Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-08T14:43:03,67707,2986,45235,30.9756,112.2707
,Italy,2020-03-08T14:43:03,7375,366,622,43.0000,12.0000
,South Korea,2020-03-08T14:43:04,7314,50,118,36.0000,128.0000
,Iran,2020-03-08T14:43:04,6566,194,2134,32.0000,53.0000
Guangdong,Mainland China,2020-03-08T14:43:05,1352,7,1256,23.3417,113.4244
Henan,Mainland China,2020-03-08T14:43:05,1272,22,1247,33.8820,113.6140
Zhejiang,Mainland China,2020-03-08T14:43:06,1215,1,1161,29.1832,120.0934
,France,2020-03-08T14:43:06,1126,19,12,47.0000,2.0000
,Germany,2020-03-08T14:43:07,1040,0,18,51.0000,9.0000
Hunan,Mainland China,2020-03-08T14:43:07,1018,4,968,27.6104,111.7088
Anhui,Mainland China,2020-03-08T14:43:08,990,6,984,31.8257,117.2264
Jiangxi,Mainland China,2020-03-08T14:43:08,935,1,919,27.6140,115.7221
Shandong,Mainland China,2020-03-08T14:43:09,758,6,642,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-08T14:43:09,696,6,40,35.4437,139.6380
,Spain,2020-03-08T14:43:10,673,17,30,40.0000,-4.0000
Jiangsu,Mainland China,2020-03-08T14:43:10,631,0,612,32.9711,119.4550
Chongqing,Mainland China,2020-03-08T14:43:11,576,6,527,30.0572,107.8740
Sichuan,Mainland China,2020-03-08T14:43:11,539,3,464,30.6171,102.7103
,Japan,2020-03-08T14:43:12,502,6,76,36.0000,138.0000
Heilongjiang,Mainland China,2020-03-08T14:43:12,481,13,412,47.8620,127.7615
Beijing,Mainland China,2020-03-08T14:43:13,428,8,308,40.1824,116.4142
Shanghai,Mainland China,2020-03-08T14:43:13,342,3,314,31.2020,121.4491
,Switzerland,2020-03-08T14:43:14,337,2,3,46.8182,8.2275
Hebei,Mainland China,2020-03-08T14:43:14,318,6,307,38.0428,114.5149
Fujian,Mainland China,2020-03-08T14:43:15,296,1,295,26.0789,117.9874
,UK,2020-03-08T14:43:15,273,3,18,55.0000,-3.0000
,Netherlands,2020-03-08T14:43:16,265,3,0,52.1326,5.2913
Guangxi,Mainland China,2020-03-08T14:43:16,252,2,223,23.8298,108.7881
Shaanxi,Mainland China,2020-03-08T14:43:17,245,1,227,35.1917,108.8701
,Sweden,2020-03-08T14:43:17,203,0,0,63.0000,16.0000
,Belgium,2020-03-08T14:43:18,200,0,1,50.8333,4.0000
,Norway,2020-03-08T14:43:18,176,0,0,60.4720,8.4689
Yunnan,Mainland China,2020-03-08T14:43:19,174,2,170,24.9740,101.4870
Hainan,Mainland China,2020-03-08T14:43:19,168,6,159,19.1959,109.7453
,Singapore,2020-03-08T14:43:20,150,0,78,1.2833,103.8333
Guizhou,Mainland China,2020-03-08T14:43:20,146,2,117,26.8154,106.8748
Tianjin,Mainland China,2020-03-08T14:43:21,136,3,128,39.3054,117.3230
Shanxi,Mainland China,2020-03-08T14:43:21,133,0,126,37.5777,112.2922
Liaoning,Mainland China,2020-03-08T14:43:22,125,1,109,41.2956,122.6085
Gansu,Mainland China,2020-03-08T14:43:22,124,2,87,36.0611,103.8343
Hong Kong,Hong Kong,2020-03-08T14:43:23,114,3,58,22.3000,114.2000
,Austria,2020-03-08T14:43:23,104,0,0,47.5162,14.5501
,Malaysia,2020-03-08T14:43:24,99,0,24,2.5000,112.5000
Jilin,Mainland China,2020-03-08T14:43:24,93,1,90,43.6661,126.1923
,Bahrain,2020-03-08T14:43:25,85,0,4,26.0275,50.5500
"King County, WA",US,2020-03-08T14:43:25,83,17,1,47.5480,-121.9836
"Westchester County, NY",US,2020-03-08T14:43:26,83,0,0,41.1220,-73.7949
Xinjiang,Mainland China,2020-03-08T14:43:26,76,3,73,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-08T14:43:27,75,1,70,44.0935,113.9448
Ningxia,Mainland China,2020-03-08T14:43:27,75,0,71,37.2692,106.1655
,Greece,2020-03-08T14:43:28,73,0,0,39.0742,21.8243
,Kuwait,2020-03-08T14:43:28,64,0,1,29.5000,47.7500
,Iraq,2020-03-08T14:43:29,60,6,0,33.0000,44.0000
,Iceland,2020-03-08T14:43:29,50,0,0,64.9631,-19.0208
,Thailand,2020-03-08T14:43:30,50,1,31,15.0000,101.0000
,Egypt,2020-03-08T14:43:30,49,1,1,26.0000,30.0000
Taiwan,Taiwan,2020-03-08T14:43:31,45,1,13,23.7000,121.0000
Unassigned Location (From Diamond Princess),US,2020-03-08T14:43:31,45,0,0,35.4437,139.6380
,United Arab Emirates,2020-03-08T14:43:32,45,0,7,24.0000,54.0000
,India,2020-03-08T14:43:32,39,0,3,21.0000,78.0000
,Israel,2020-03-08T14:43:33,39,0,2,31.0000,35.0000
New South Wales,Australia,2020-03-08T14:43:33,38,3,4,-33.8688,151.2093
"Santa Clara County, CA",US,2020-03-08T14:43:34,38,0,1,37.3541,-121.9552
,San Marino,2020-03-08T14:43:34,36,1,0,43.9424,12.4578
,Denmark,2020-03-08T14:43:35,35,0,1,56.2639,9.5018
,Lebanon,2020-03-08T14:43:35,32,0,1,33.8547,35.8623
,Czech Republic,2020-03-08T14:43:36,31,0,0,49.8175,15.4730
"Snohomish County, WA",US,2020-03-08T14:43:36,31,1,0,48.0330,-121.8339
,Portugal,2020-03-08T14:43:37,30,0,0,39.3999,-8.2245
,Vietnam,2020-03-08T14:43:37,30,0,16,16.0000,108.0000
"Toronto, ON",Canada,2020-03-08T14:43:38,28,0,3,43.6532,-79.3832
British Columbia,Canada,2020-03-08T14:43:38,27,0,4,49.2827,-123.1207
,Finland,2020-03-08T14:43:39,23,0,1,64.0000,26.0000
,Palestine,2020-03-08T14:43:39,22,0,0,31.9522,35.2332
,Republic of Ireland,2020-03-08T14:43:40,21,0,0,53.1424,-7.6921
Grand Princess Cruise Ship,US,2020-03-08T14:43:40,21,0,0,37.6489,-122.6655
,Brazil,2020-03-08T14:43:41,20,0,0,-14.2350,-51.9253
,Algeria,2020-03-08T14:43:41,19,0,0,28.0339,1.6596
,Ireland,2020-03-08T14:43:42,19,0,0,53.4167,-8.0000
Qinghai,Mainland China,2020-03-08T14:43:42,18,0,18,35.7452,95.9956
,Russia,2020-03-08T14:43:43,17,0,3,60.0000,90.0000
,Oman,2020-03-08T14:43:43,16,0,2,21.0000,57.0000
,Slovenia,2020-03-08T14:43:44,16,0,0,46.1512,14.9955
Queensland,Australia,2020-03-08T14:43:44,15,0,8,-28.0167,153.4000
,Qatar,2020-03-08T14:43:45,15,0,0,25.3548,51.1839
,Romania,2020-03-08T14:43:45,15,0,3,46.0000,25.0000
,Ecuador,2020-03-08T14:43:46,14,0,0,-1.8312,-78.1834
"Los Angeles, CA",US,2020-03-08T14:43:46,14,0,0,34.0522,-118.2437
,Georgia,2020-03-08T14:43:47,13,0,0,42.3154,43.3569
,Argentina,2020-03-08T14:43:47,12,1,0,-38.4161,-63.6167
,Croatia,2020-03-08T14:43:48,12,0,0,45.1667,15.5000
"Contra Costa County, CA",US,2020-03-08T14:43:48,12,0,0,37.8534,-121.9018
"New York County, NY",US,2020-03-08T14:43:49,12,0,0,40.7128,-74.0060
Victoria,Australia,2020-03-08T14:43:49,11,0,7,-37.8136,144.9631
,Poland,2020-03-08T14:43:50,11,0,0,51.9194,19.1451
,Saudi Arabia,2020-03-08T14:43:50,11,0,0,24.0000,45.0000
,Estonia,2020-03-08T14:43:51,10,0,0,58.5953,25.0136
Macau,Macau,2020-03-08T14:43:51,10,0,10,22.1667,113.5500
,Philippines,2020-03-08T14:43:52,10,1,1,13.0000,122.0000
,Azerbaijan,2020-03-08T14:43:52,9,0,0,40.1431,47.5769
"San Francisco County, CA",US,2020-03-08T14:43:53,9,0,0,37.7749,-122.4194
,Chile,2020-03-08T14:43:53,8,0,0,-35.6751,-71.5430
"Suffolk County, MA",US,2020-03-08T14:43:54,8,0,1,42.3601,-71.0589
"Washington County, OR",US,2020-03-08T14:43:54,8,0,0,45.5470,-123.1386
South Australia,Australia,2020-03-08T14:43:55,7,0,2,-34.9285,138.6007
,Hungary,2020-03-08T14:43:55,7,0,0,47.1625,19.5033
,Mexico,2020-03-08T14:43:56,7,0,1,23.0000,-102.0000
"Cook County, IL",US,2020-03-08T14:43:56,7,0,2,41.7377,-87.6976
"Middlesex County, MA",US,2020-03-08T14:43:57,7,0,0,42.4672,-71.2874
,Belarus,2020-03-08T14:43:57,6,0,0,53.7098,27.9534
