Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-19T10:13:14,67800,3130,57682,30.9756,112.2707
,Italy,2020-03-19T10:13:14,41035,3405,4440,41.8719,12.5674
,Iran,2020-03-19T10:13:15,18407,1284,5710,32.4279,53.6880
,Spain,2020-03-19T10:13:15,17963,830,1107,40.4637,-3.7492
,Germany,2020-03-19T10:13:16,15320,44,113,51.1657,10.4515
France,France,2020-03-19T10:13:16,10871,243,12,46.2276,2.2137
,"Korea, South",2020-03-19T10:13:17,8565,91,1540,35.9078,127.7669
New York,US,2020-03-19T10:13:17,5365,34,0,42.1657,-74.9481
,Switzerland,2020-03-19T10:13:18,4075,41,15,46.8182,8.2275
United Kingdom,United Kingdom,2020-03-19T10:13:18,2689,137,65,55.3781,-3.4360
Netherlands,Netherlands,2020-03-19T10:13:19,2460,76,2,52.1326,5.2913
,Austria,2020-03-19T10:13:19,2013,6,9,47.5162,14.5501
,Belgium,2020-03-19T10:13:20,1795,21,31,50.5039,4.4699
,Norway,2020-03-19T10:13:20,1746,7,1,60.4720,8.4689
,Sweden,2020-03-19T10:13:21,1439,11,16,60.1282,18.6435
Guangdong,China,2020-03-19T10:13:21,1378,8,1318,23.3417,113.4244
Washington,US,2020-03-19T10:13:22,1376,74,0,47.4009,-121.4905
Henan,China,2020-03-19T10:13:22,1273,22,1250,33.8820,113.6140
Zhejiang,China,2020-03-19T10:13:23,1233,1,1217,29.1832,120.0934
Denmark,Denmark,2020-03-19T10:13:23,1151,6,1,56.2639,9.5018
Hunan,China,2020-03-19T10:13:24,1018,4,1014,27.6104,111.7088
Anhui,China,2020-03-19T10:13:24,990,6,984,31.8257,117.2264
California,US,2020-03-19T10:13:25,952,18,0,36.1162,-119.6816
Jiangxi,China,2020-03-19T10:13:25,935,1,934,27.6140,115.7221
,Japan,2020-03-19T10:13:26,924,29,150,36.2048,138.2529
,Malaysia,2020-03-19T10:13:26,900,2,75,4.2105,101.9758
,Portugal,2020-03-19T10:13:27,785,3,3,39.3999,-8.2245
Shandong,China,2020-03-19T10:13:27,761,7,747,36.3427,118.1498
New Jersey,US,2020-03-19T10:13:28,742,9,0,40.2989,-74.5210
Diamond Princess,Cruise Ship,2020-03-19T10:13:28,712,7,325,35.4498,139.6649
,Czechia,2020-03-19T10:13:29,694,0,3,49.8175,15.4730
