Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-05T23:13:12,19665,549,633
Guangdong,Mainland China,2020-02-05T23:13:12,895,0,49
Zhejiang,Mainland China,2020-02-05T23:13:13,895,0,78
Henan,Mainland China,2020-02-05T23:13:13,764,2,47
Hunan,Mainland China,2020-02-05T23:13:14,661,0,54
Jiangxi,Mainland China,2020-02-05T23:13:14,548,0,27
Anhui,Mainland China,2020-02-05T23:13:15,530,0,23
Chongqing,Mainland China,2020-02-05T23:13:15,389,2,15
Jiangsu,Mainland China,2020-02-05T23:13:16,341,0,23
Shandong,Mainland China,2020-02-05T23:13:16,307,0,15
Sichuan,Mainland China,2020-02-05T23:13:17,301,1,24
Beijing,Mainland China,2020-02-05T23:13:17,253,1,24
Shanghai,Mainland China,2020-02-05T23:13:18,243,1,15
Fujian,Mainland China,2020-02-05T23:13:18,205,0,11
Heilongjiang,Mainland China,2020-02-05T23:13:19,190,2,7
Shaanxi,Mainland China,2020-02-05T23:13:19,165,0,6
Guangxi,Mainland China,2020-02-05T23:13:20,150,0,13
Hebei,Mainland China,2020-02-05T23:13:20,135,1,6
Yunnan,Mainland China,2020-02-05T23:13:21,128,0,5
Hainan,Mainland China,2020-02-05T23:13:21,99,1,5
Liaoning,Mainland China,2020-02-05T23:13:22,89,0,4
Shanxi,Mainland China,2020-02-05T23:13:22,81,0,5
Tianjin,Mainland China,2020-02-05T23:13:23,69,1,2
Guizhou,Mainland China,2020-02-05T23:13:23,64,1,9
Gansu,Mainland China,2020-02-05T23:13:24,62,0,6
Jilin,Mainland China,2020-02-05T23:13:24,54,0,2
Inner Mongolia,Mainland China,2020-02-05T23:13:25,42,0,3
Ningxia,Mainland China,2020-02-05T23:13:25,34,0,1
Xinjiang,Mainland China,2020-02-05T23:13:26,32,0,0
,Singapore,2020-02-05T23:13:26,28,0,0
,Thailand,2020-02-05T23:13:27,25,0,5
,Japan,2020-02-05T23:13:27,22,0,1
Hong Kong,Hong Kong,2020-02-05T23:13:28,21,1,0
,South Korea,2020-02-05T23:13:28,19,0,0
Qinghai,Mainland China,2020-02-05T23:13:29,17,0,3
,Germany,2020-02-05T23:13:29,12,0,0
,Malaysia,2020-02-05T23:13:30,12,0,0
Taiwan,Taiwan,2020-02-05T23:13:30,11,0,0
Macau,Macau,2020-02-05T23:13:31,10,0,0
,Vietnam,2020-02-05T23:13:31,8,0,1
,France,2020-02-05T23:13:32,6,0,0
,United Arab Emirates,2020-02-05T23:13:32,5,0,0
New South Wales,Australia,2020-02-05T23:13:33,4,0,2
Victoria,Australia,2020-02-05T23:13:33,4,0,0
Queensland,Australia,2020-02-05T23:13:34,3,0,0
,India,2020-02-05T23:13:34,3,0,0
South Australia,Australia,2020-02-05T23:13:35,2,0,0
British Columbia,Canada,2020-02-05T23:13:35,2,0,0
"Toronto, ON",Canada,2020-02-05T23:13:36,2,0,0
,Italy,2020-02-05T23:13:36,2,0,0
,Philippines,2020-02-05T23:13:37,2,1,0
,Russia,2020-02-05T23:13:37,2,0,0
,UK,2020-02-05T23:13:38,2,0,0
"Chicago, IL",US,2020-02-05T23:13:38,2,0,0
"San Benito, CA",US,2020-02-05T23:13:39,2,0,0
"Santa Clara, CA",US,2020-02-05T23:13:39,2,0,0
,Belgium,2020-02-05T23:13:40,1,0,0
,Cambodia,2020-02-05T23:13:40,1,0,0
"London, ON",Canada,2020-02-05T23:13:41,1,0,0
,Finland,2020-02-05T23:13:41,1,0,0
Tibet,Mainland China,2020-02-05T23:13:42,1,0,0
,Nepal,2020-02-05T23:13:42,1,0,0
,Spain,2020-02-05T23:13:43,1,0,0
,Sri Lanka,2020-02-05T23:13:43,1,0,0
,Sweden,2020-02-05T23:13:44,1,0,0
"Boston, MA",US,2020-02-05T23:13:44,1,0,0
"Los Angeles, CA",US,2020-02-05T23:13:45,1,0,0
"Madison, WI",US,2020-02-05T23:13:45,1,0,0
"Orange, CA",US,2020-02-05T23:13:46,1,0,0
"Seattle, WA",US,2020-02-05T23:13:46,1,0,0
"Tempe, AZ",US,2020-02-05T23:13:47,1,0,0
