Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-10T23:33:02,31728,974,2222
Guangdong,Mainland China,2020-02-10T23:33:02,1159,1,167
Zhejiang,Mainland China,2020-02-10T23:33:02,1092,0,242
Henan,Mainland China,2020-02-10T23:33:02,1073,6,191
Hunan,Mainland China,2020-02-10T23:33:03,879,1,208
Anhui,Mainland China,2020-02-10T23:33:03,830,3,88
Jiangxi,Mainland China,2020-02-10T23:33:03,771,1,105
Jiangsu,Mainland China,2020-02-10T23:33:03,492,0,81
Chongqing,Mainland China,2020-02-10T23:33:04,486,2,66
Shandong,Mainland China,2020-02-10T23:33:04,466,1,66
Sichuan,Mainland China,2020-02-10T23:33:04,405,1,80
Beijing,Mainland China,2020-02-10T23:33:04,337,2,44
Heilongjiang,Mainland China,2020-02-10T23:33:05,331,7,30
Shanghai,Mainland China,2020-02-10T23:33:05,299,1,48
Fujian,Mainland China,2020-02-10T23:33:05,261,0,39
Hebei,Mainland China,2020-02-10T23:33:05,218,2,41
Shaanxi,Mainland China,2020-02-10T23:33:06,213,0,30
Guangxi,Mainland China,2020-02-10T23:33:06,210,1,24
Yunnan,Mainland China,2020-02-10T23:33:06,149,0,19
Hainan,Mainland China,2020-02-10T23:33:06,138,3,19
Diamond Princess cruise ship,Others,2020-02-10T23:33:07,135,0,0
Shanxi,Mainland China,2020-02-10T23:33:07,119,0,25
Guizhou,Mainland China,2020-02-10T23:33:07,109,1,10
Liaoning,Mainland China,2020-02-10T23:33:07,108,0,13
Tianjin,Mainland China,2020-02-10T23:33:08,95,1,8
Gansu,Mainland China,2020-02-10T23:33:08,83,2,17
Jilin,Mainland China,2020-02-10T23:33:08,80,1,13
Inner Mongolia,Mainland China,2020-02-10T23:33:08,58,0,5
Ningxia,Mainland China,2020-02-10T23:33:09,49,0,13
Xinjiang,Mainland China,2020-02-10T23:33:09,49,0,0
,Singapore,2020-02-10T23:33:09,45,0,2
Hong Kong,Hong Kong,2020-02-10T23:33:09,38,1,0
,Thailand,2020-02-10T23:33:10,32,0,10
,South Korea,2020-02-10T23:33:10,27,0,3
,Japan,2020-02-10T23:33:10,26,0,4
Qinghai,Mainland China,2020-02-10T23:33:10,18,0,3
,Malaysia,2020-02-10T23:33:11,18,0,1
Taiwan,Taiwan,2020-02-10T23:33:11,18,0,1
,Germany,2020-02-10T23:33:11,14,0,0
,Vietnam,2020-02-10T23:33:11,14,0,1
,France,2020-02-10T23:33:12,11,0,0
Macau,Macau,2020-02-10T23:33:12,10,0,1
,UK,2020-02-10T23:33:12,8,0,0
,United Arab Emirates,2020-02-10T23:33:12,8,0,0
Queensland,Australia,2020-02-10T23:33:13,5,0,0
New South Wales,Australia,2020-02-10T23:33:13,4,0,2
Victoria,Australia,2020-02-10T23:33:13,4,0,0
British Columbia,Canada,2020-02-10T23:33:13,4,0,0
,India,2020-02-10T23:33:14,3,0,0
,Italy,2020-02-10T23:33:14,3,0,0
,Philippines,2020-02-10T23:33:14,3,1,0
South Australia,Australia,2020-02-10T23:33:14,2,0,0
"Toronto, ON",Canada,2020-02-10T23:33:15,2,0,0
,Russia,2020-02-10T23:33:15,2,0,0
,Spain,2020-02-10T23:33:15,2,0,0
"Chicago, IL",US,2020-02-10T23:33:15,2,0,2
"San Benito, CA",US,2020-02-10T23:33:16,2,0,0
"Santa Clara, CA",US,2020-02-10T23:33:16,2,0,0
,Belgium,2020-02-10T23:33:16,1,0,0
,Cambodia,2020-02-10T23:33:16,1,0,0
"London, ON",Canada,2020-02-10T23:33:17,1,0,0
,Finland,2020-02-10T23:33:17,1,0,0
Tibet,Mainland China,2020-02-10T23:33:17,1,0,0
,Nepal,2020-02-10T23:33:17,1,0,0
,Sri Lanka,2020-02-10T23:33:18,1,0,1
,Sweden,2020-02-10T23:33:18,1,0,0
"Boston, MA",US,2020-02-10T23:33:18,1,0,0
"Los Angeles, CA",US,2020-02-10T23:33:18,1,0,0
"Madison, WI",US,2020-02-10T23:33:19,1,0,0
"Orange, CA",US,2020-02-10T23:33:19,1,0,0
"Seattle, WA",US,2020-02-10T23:33:19,1,0,1
"Tempe, AZ",US,2020-02-10T23:33:19,1,0,0
