Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-03T11:43:02,67217,2835,36208,30.9756,112.2707
,South Korea,2020-03-03T11:43:02,5186,28,30,36.0000,128.0000
,Italy,2020-03-03T11:43:02,2502,79,160,43.0000,12.0000
,Iran,2020-03-03T11:43:02,2336,77,291,32.0000,53.0000
Guangdong,Mainland China,2020-03-03T11:43:02,1350,7,1101,23.3417,113.4244
Henan,Mainland China,2020-03-03T11:43:02,1272,22,1231,33.8820,113.6140
Zhejiang,Mainland China,2020-03-03T11:43:03,1213,1,1093,29.1832,120.0934
Hunan,Mainland China,2020-03-03T11:43:03,1018,4,906,27.6104,111.7088
Anhui,Mainland China,2020-03-03T11:43:03,990,6,936,31.8257,117.2264
Jiangxi,Mainland China,2020-03-03T11:43:03,935,1,870,27.6140,115.7221
Shandong,Mainland China,2020-03-03T11:43:03,758,6,511,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-03T11:43:03,706,6,10,35.4437,139.6380
Jiangsu,Mainland China,2020-03-03T11:43:04,631,0,562,32.9711,119.4550
Chongqing,Mainland China,2020-03-03T11:43:04,576,6,490,30.0572,107.8740
Sichuan,Mainland China,2020-03-03T11:43:04,538,3,394,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-03T11:43:04,480,13,366,47.8620,127.7615
Beijing,Mainland China,2020-03-03T11:43:04,414,8,288,40.1824,116.4142
Shanghai,Mainland China,2020-03-03T11:43:04,338,3,294,31.2020,121.4491
Hebei,Mainland China,2020-03-03T11:43:05,318,6,300,38.0428,114.5149
Fujian,Mainland China,2020-03-03T11:43:05,296,1,260,26.0789,117.9874
,Japan,2020-03-03T11:43:05,293,6,43,36.0000,138.0000
Guangxi,Mainland China,2020-03-03T11:43:05,252,2,202,23.8298,108.7881
Shaanxi,Mainland China,2020-03-03T11:43:05,245,1,216,35.1917,108.8701
,France,2020-03-03T11:43:05,204,4,12,47.0000,2.0000
,Germany,2020-03-03T11:43:06,196,0,16,51.0000,9.0000
Yunnan,Mainland China,2020-03-03T11:43:06,174,2,169,24.9740,101.4870
Hainan,Mainland China,2020-03-03T11:43:06,168,5,155,19.1959,109.7453
,Spain,2020-03-03T11:43:06,165,1,2,40.0000,-4.0000
Guizhou,Mainland China,2020-03-03T11:43:06,146,2,114,26.8154,106.8748
Tianjin,Mainland China,2020-03-03T11:43:06,136,3,124,39.3054,117.3230
Shanxi,Mainland China,2020-03-03T11:43:07,133,0,124,37.5777,112.2922
Liaoning,Mainland China,2020-03-03T11:43:07,125,1,106,41.2956,122.6085
,Singapore,2020-03-03T11:43:07,110,0,78,1.2833,103.8333
