Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-28T00:43:01,65914,2682,26403
,South Korea,2020-02-28T00:43:01,2337,13,22
Guangdong,Mainland China,2020-02-28T00:43:02,1348,7,935
Henan,Mainland China,2020-02-28T00:43:02,1272,20,1112
Zhejiang,Mainland China,2020-02-28T00:43:03,1205,1,975
Hunan,Mainland China,2020-02-28T00:43:03,1017,4,830
Anhui,Mainland China,2020-02-28T00:43:04,990,6,821
Jiangxi,Mainland China,2020-02-28T00:43:04,935,1,790
,Italy,2020-02-28T00:43:05,888,21,46
Shandong,Mainland China,2020-02-28T00:43:05,756,6,405
Diamond Princess cruise ship,Others,2020-02-28T00:43:06,705,6,10
Jiangsu,Mainland China,2020-02-28T00:43:06,631,0,515
Chongqing,Mainland China,2020-02-28T00:43:07,576,6,422
Sichuan,Mainland China,2020-02-28T00:43:07,538,3,338
Heilongjiang,Mainland China,2020-02-28T00:43:08,480,13,283
Beijing,Mainland China,2020-02-28T00:43:08,410,7,257
,Iran,2020-02-28T00:43:09,388,34,73
Shanghai,Mainland China,2020-02-28T00:43:09,337,3,279
Hebei,Mainland China,2020-02-28T00:43:10,318,6,277
Fujian,Mainland China,2020-02-28T00:43:10,296,1,235
Guangxi,Mainland China,2020-02-28T00:43:11,252,2,168
Shaanxi,Mainland China,2020-02-28T00:43:11,245,1,199
,Japan,2020-02-28T00:43:12,228,4,22
Yunnan,Mainland China,2020-02-28T00:43:12,174,2,156
Hainan,Mainland China,2020-02-28T00:43:13,168,5,133
Guizhou,Mainland China,2020-02-28T00:43:13,146,2,112
Tianjin,Mainland China,2020-02-28T00:43:14,136,3,102
Shanxi,Mainland China,2020-02-28T00:43:14,133,0,112
Liaoning,Mainland China,2020-02-28T00:43:15,121,1,93
Hong Kong,Hong Kong,2020-02-28T00:43:15,94,2,30
Jilin,Mainland China,2020-02-28T00:43:16,93,1,73
,Singapore,2020-02-28T00:43:16,93,0,62
Gansu,Mainland China,2020-02-28T00:43:17,91,2,82
Xinjiang,Mainland China,2020-02-28T00:43:17,76,3,52
Inner Mongolia,Mainland China,2020-02-28T00:43:18,75,0,45
Ningxia,Mainland China,2020-02-28T00:43:18,72,0,68
,France,2020-02-28T00:43:19,57,2,11
,Germany,2020-02-28T00:43:19,48,0,16
,Kuwait,2020-02-28T00:43:20,45,0,0
Unassigned Location (From Diamond Princess),US,2020-02-28T00:43:20,44,0,0
,Thailand,2020-02-28T00:43:21,41,0,28
,Bahrain,2020-02-28T00:43:21,36,0,0
Taiwan,Taiwan,2020-02-28T00:43:22,34,1,6
,Spain,2020-02-28T00:43:22,32,0,2
,Malaysia,2020-02-28T00:43:23,23,0,18
,UK,2020-02-28T00:43:23,20,0,8
,United Arab Emirates,2020-02-28T00:43:24,19,0,5
Qinghai,Mainland China,2020-02-28T00:43:24,18,0,18
,Vietnam,2020-02-28T00:43:25,16,0,16
Macau,Macau,2020-02-28T00:43:25,10,0,8
From Diamond Princess,Australia,2020-02-28T00:43:26,8,0,0
,Switzerland,2020-02-28T00:43:26,8,0,0
British Columbia,Canada,2020-02-28T00:43:27,7,0,3
,Iraq,2020-02-28T00:43:27,7,0,0
,Sweden,2020-02-28T00:43:28,7,0,0
,Norway,2020-02-28T00:43:28,6,0,0
Queensland,Australia,2020-02-28T00:43:29,5,0,1
"Toronto, ON",Canada,2020-02-28T00:43:29,5,0,2
,Croatia,2020-02-28T00:43:30,5,0,0
New South Wales,Australia,2020-02-28T00:43:30,4,0,4
Victoria,Australia,2020-02-28T00:43:31,4,0,4
,Greece,2020-02-28T00:43:31,4,0,0
,Israel,2020-02-28T00:43:32,4,0,1
,Oman,2020-02-28T00:43:32,4,0,0
,Austria,2020-02-28T00:43:33,3,0,0
,India,2020-02-28T00:43:33,3,0,3
,Philippines,2020-02-28T00:43:34,3,1,1
,Romania,2020-02-28T00:43:34,3,0,0
South Australia,Australia,2020-02-28T00:43:35,2,0,2
,Finland,2020-02-28T00:43:35,2,0,1
,Lebanon,2020-02-28T00:43:36,2,0,0
,Pakistan,2020-02-28T00:43:36,2,0,0
,Russia,2020-02-28T00:43:37,2,0,2
"Chicago, IL",US,2020-02-28T00:43:37,2,0,2
"Sacramento County, CA",US,2020-02-28T00:43:38,2,0,0
"San Benito, CA",US,2020-02-28T00:43:38,2,0,0
"San Diego County, CA",US,2020-02-28T00:43:39,2,0,1
"Santa Clara, CA",US,2020-02-28T00:43:39,2,0,1
, Azerbaijan,2020-02-28T00:43:40,1,0,0
,Afghanistan,2020-02-28T00:43:40,1,0,0
,Algeria,2020-02-28T00:43:41,1,0,0
