Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-12T14:13:08,33366,1068,2686
Guangdong,Mainland China,2020-02-12T14:13:08,1219,1,275
Henan,Mainland China,2020-02-12T14:13:08,1135,8,246
Zhejiang,Mainland China,2020-02-12T14:13:09,1131,0,321
Hunan,Mainland China,2020-02-12T14:13:09,946,2,304
Anhui,Mainland China,2020-02-12T14:13:09,889,4,127
Jiangxi,Mainland China,2020-02-12T14:13:10,844,1,152
Jiangsu,Mainland China,2020-02-12T14:13:10,543,0,125
Chongqing,Mainland China,2020-02-12T14:13:10,518,3,102
Shandong,Mainland China,2020-02-12T14:13:11,497,2,92
Sichuan,Mainland China,2020-02-12T14:13:11,436,1,92
Heilongjiang,Mainland China,2020-02-12T14:13:11,378,8,31
Beijing,Mainland China,2020-02-12T14:13:12,352,3,56
Shanghai,Mainland China,2020-02-12T14:13:12,311,1,57
Fujian,Mainland China,2020-02-12T14:13:12,272,0,53
Hebei,Mainland China,2020-02-12T14:13:13,251,2,54
Shaanxi,Mainland China,2020-02-12T14:13:13,225,0,43
Guangxi,Mainland China,2020-02-12T14:13:13,222,1,32
Diamond Princess cruise ship,Others,2020-02-12T14:13:14,175,0,0
Hainan,Mainland China,2020-02-12T14:13:14,157,4,27
Yunnan,Mainland China,2020-02-12T14:13:14,154,0,26
Guizhou,Mainland China,2020-02-12T14:13:15,133,1,18
Shanxi,Mainland China,2020-02-12T14:13:15,126,0,33
Liaoning,Mainland China,2020-02-12T14:13:15,116,1,20
Tianjin,Mainland China,2020-02-12T14:13:16,112,2,11
Gansu,Mainland China,2020-02-12T14:13:16,87,2,31
Jilin,Mainland China,2020-02-12T14:13:16,83,1,22
Inner Mongolia,Mainland China,2020-02-12T14:13:17,60,0,6
Xinjiang,Mainland China,2020-02-12T14:13:17,59,0,3
Ningxia,Mainland China,2020-02-12T14:13:17,58,0,24
Hong Kong,Hong Kong,2020-02-12T14:13:18,50,1,1
,Singapore,2020-02-12T14:13:18,50,0,15
,Thailand,2020-02-12T14:13:18,33,0,10
,Japan,2020-02-12T14:13:19,28,0,9
,South Korea,2020-02-12T14:13:19,28,0,7
Qinghai,Mainland China,2020-02-12T14:13:19,18,0,9
,Malaysia,2020-02-12T14:13:20,18,0,3
Taiwan,Taiwan,2020-02-12T14:13:20,18,0,1
,Germany,2020-02-12T14:13:20,16,0,0
,Vietnam,2020-02-12T14:13:21,15,0,6
,France,2020-02-12T14:13:21,11,0,2
Macau,Macau,2020-02-12T14:13:21,10,0,2
,UK,2020-02-12T14:13:22,9,0,1
,United Arab Emirates,2020-02-12T14:13:22,8,0,1
Queensland,Australia,2020-02-12T14:13:22,5,0,0
New South Wales,Australia,2020-02-12T14:13:23,4,0,2
Victoria,Australia,2020-02-12T14:13:23,4,0,0
British Columbia,Canada,2020-02-12T14:13:23,4,0,0
,India,2020-02-12T14:13:24,3,0,0
,Italy,2020-02-12T14:13:24,3,0,0
,Philippines,2020-02-12T14:13:24,3,1,1
South Australia,Australia,2020-02-12T14:13:25,2,0,0
"Toronto, ON",Canada,2020-02-12T14:13:25,2,0,0
,Russia,2020-02-12T14:13:25,2,0,2
,Spain,2020-02-12T14:13:26,2,0,0
"Chicago, IL",US,2020-02-12T14:13:26,2,0,2
"San Benito, CA",US,2020-02-12T14:13:26,2,0,0
"Santa Clara, CA",US,2020-02-12T14:13:27,2,0,0
,Belgium,2020-02-12T14:13:27,1,0,0
,Cambodia,2020-02-12T14:13:27,1,0,1
"London, ON",Canada,2020-02-12T14:13:28,1,0,1
,Finland,2020-02-12T14:13:28,1,0,1
Tibet,Mainland China,2020-02-12T14:13:28,1,0,1
,Nepal,2020-02-12T14:13:29,1,0,1
,Sri Lanka,2020-02-12T14:13:29,1,0,1
,Sweden,2020-02-12T14:13:29,1,0,0
"Boston, MA",US,2020-02-12T14:13:30,1,0,0
"Los Angeles, CA",US,2020-02-12T14:13:30,1,0,0
"Madison, WI",US,2020-02-12T14:13:30,1,0,0
"Orange, CA",US,2020-02-12T14:13:31,1,0,0
"San Diego County, CA",US,2020-02-12T14:13:31,1,0,0
"Seattle, WA",US,2020-02-12T14:13:31,1,0,1
"Tempe, AZ",US,2020-02-12T14:13:32,1,0,0
