Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Lebanon,2020-03-18T12:13:51,133,3,3,33.8547,35.8623
Liaoning,China,2020-03-18T12:13:52,125,1,122,41.2956,122.6085
Victoria,Australia,2020-03-18T12:13:52,121,0,8,-37.8136,144.9631
,San Marino,2020-03-18T12:13:53,119,11,4,43.9424,12.4578
,South Africa,2020-03-18T12:13:53,116,0,0,-30.5595,22.9375
,United Arab Emirates,2020-03-18T12:13:54,113,0,26,23.4241,53.8478
,Ecuador,2020-03-18T12:13:54,111,2,0,-1.8312,-78.1834
,Slovakia,2020-03-18T12:13:55,105,1,0,48.6690,19.6990
,Taiwan*,2020-03-18T12:13:55,100,1,22,23.7000,121.0000
,Turkey,2020-03-18T12:13:56,98,1,0,38.9637,35.2433
Alberta,Canada,2020-03-18T12:13:56,97,0,0,53.9333,-116.5765
Queensland,Australia,2020-03-18T12:13:57,94,0,8,-28.0167,153.4000
Quebec,Canada,2020-03-18T12:13:57,94,0,0,52.9399,-73.5491
Jilin,China,2020-03-18T12:13:58,93,1,92,43.6661,126.1923
,Colombia,2020-03-18T12:13:58,93,0,1,4.5709,-74.2973
,Mexico,2020-03-18T12:13:59,93,0,4,23.6345,-102.5528
,Bulgaria,2020-03-18T12:13:59,92,2,0,42.7339,25.4858
Wisconsin,US,2020-03-18T12:13:60,92,0,0,44.2685,-89.6165
,Panama,2020-03-18T12:13:60,86,1,0,8.5380,-80.7821
Ohio,US,2020-03-18T12:13:61,86,0,0,40.3888,-82.7649
Maryland,US,2020-03-18T12:13:61,85,0,0,39.0639,-76.8021
,Armenia,2020-03-18T12:13:62,84,0,1,40.0691,45.0382
,Serbia,2020-03-18T12:13:62,83,0,1,44.0165,21.0059
Michigan,US,2020-03-18T12:13:63,83,0,0,43.3266,-84.5361
,Croatia,2020-03-18T12:13:63,81,0,4,45.1000,15.2000
,Argentina,2020-03-18T12:13:64,79,2,3,-38.4161,-63.6167
Tennessee,US,2020-03-18T12:13:64,79,0,0,35.7478,-86.6923
Minnesota,US,2020-03-18T12:13:65,77,0,0,45.6945,-93.9002
