Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-02T15:03:23,67103,2803,33934,30.9756,112.2707
,South Korea,2020-03-02T15:03:23,4335,28,30,36.0000,128.0000
,Italy,2020-03-02T15:03:24,2036,52,149,43.0000,12.0000
,Iran,2020-03-02T15:03:24,1501,66,291,32.0000,53.0000
Guangdong,Mainland China,2020-03-02T15:03:25,1350,7,1059,23.3417,113.4244
Henan,Mainland China,2020-03-02T15:03:25,1272,22,1205,33.8820,113.6140
Zhejiang,Mainland China,2020-03-02T15:03:26,1206,1,1069,29.1832,120.0934
Hunan,Mainland China,2020-03-02T15:03:26,1018,4,887,27.6104,111.7088
Anhui,Mainland China,2020-03-02T15:03:27,990,6,917,31.8257,117.2264
Jiangxi,Mainland China,2020-03-02T15:03:27,935,1,850,27.6140,115.7221
Shandong,Mainland China,2020-03-02T15:03:28,758,6,460,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-02T15:03:28,705,6,10,35.4437,139.6380
Jiangsu,Mainland China,2020-03-02T15:03:29,631,0,543,32.9711,119.4550
Chongqing,Mainland China,2020-03-02T15:03:29,576,6,469,30.0572,107.8740
Sichuan,Mainland China,2020-03-02T15:03:30,538,3,386,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-02T15:03:30,480,13,356,47.8620,127.7615
Beijing,Mainland China,2020-03-02T15:03:31,414,8,282,40.1824,116.4142
Shanghai,Mainland China,2020-03-02T15:03:31,337,3,292,31.2020,121.4491
Hebei,Mainland China,2020-03-02T15:03:32,318,6,296,38.0428,114.5149
Fujian,Mainland China,2020-03-02T15:03:32,296,1,255,26.0789,117.9874
,Japan,2020-03-02T15:03:33,274,6,32,36.0000,138.0000
Guangxi,Mainland China,2020-03-02T15:03:33,252,2,192,23.8298,108.7881
Shaanxi,Mainland China,2020-03-02T15:03:34,245,1,216,35.1917,108.8701
,France,2020-03-02T15:03:34,191,3,12,47.0000,2.0000
Yunnan,Mainland China,2020-03-02T15:03:35,174,2,168,24.9740,101.4870
Hainan,Mainland China,2020-03-02T15:03:35,168,5,151,19.1959,109.7453
,Germany,2020-03-02T15:03:36,159,0,16,51.0000,9.0000
Guizhou,Mainland China,2020-03-02T15:03:36,146,2,114,26.8154,106.8748
Tianjin,Mainland China,2020-03-02T15:03:37,136,3,111,39.3054,117.3230
Shanxi,Mainland China,2020-03-02T15:03:37,133,0,119,37.5777,112.2922
Liaoning,Mainland China,2020-03-02T15:03:38,122,1,103,41.2956,122.6085
,Spain,2020-03-02T15:03:38,120,0,2,40.0000,-4.0000
,Singapore,2020-03-02T15:03:39,108,0,78,1.2833,103.8333
Hong Kong,Hong Kong,2020-03-02T15:03:39,100,2,36,22.3000,114.2000
Jilin,Mainland China,2020-03-02T15:03:40,93,1,83,43.6661,126.1923
Gansu,Mainland China,2020-03-02T15:03:40,91,2,85,36.0611,103.8343
Xinjiang,Mainland China,2020-03-02T15:03:41,76,3,66,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-02T15:03:41,75,0,54,44.0935,113.9448
Ningxia,Mainland China,2020-03-02T15:03:42,74,0,69,37.2692,106.1655
,Kuwait,2020-03-02T15:03:42,56,0,0,29.5000,47.7500
,Bahrain,2020-03-02T15:03:43,49,0,0,26.0275,50.5500
Unassigned Location (From Diamond Princess),US,2020-03-02T15:03:43,45,0,0,35.4437,139.6380
,Thailand,2020-03-02T15:03:44,43,1,31,15.0000,101.0000
,Switzerland,2020-03-02T15:03:44,42,0,0,46.8182,8.2275
Taiwan,Taiwan,2020-03-02T15:03:45,41,1,12,23.7000,121.0000
,UK,2020-03-02T15:03:45,40,0,8,55.0000,-3.0000
,Malaysia,2020-03-02T15:03:46,29,0,18,2.5000,112.5000
,Iraq,2020-03-02T15:03:46,26,0,0,33.0000,44.0000
,Norway,2020-03-02T15:03:47,25,0,0,60.4720,8.4689
,United Arab Emirates,2020-03-02T15:03:47,21,0,5,24.0000,54.0000
,Austria,2020-03-02T15:03:48,18,0,0,47.5162,14.5501
Qinghai,Mainland China,2020-03-02T15:03:48,18,0,18,35.7452,95.9956
,Netherlands,2020-03-02T15:03:49,18,0,0,52.1326,5.2913
"Toronto, ON",Canada,2020-03-02T15:03:49,17,0,2,43.6532,-79.3832
,Vietnam,2020-03-02T15:03:50,16,0,16,16.0000,108.0000
,Sweden,2020-03-02T15:03:50,15,0,0,63.0000,16.0000
"King County, WA",US,2020-03-02T15:03:51,14,5,1,47.5480,-121.9836
,Lebanon,2020-03-02T15:03:51,13,0,0,33.8547,35.8623
,Israel,2020-03-02T15:03:52,10,0,1,31.0000,35.0000
Macau,Macau,2020-03-02T15:03:52,10,0,8,22.1667,113.5500
Queensland,Australia,2020-03-02T15:03:53,9,0,1,-28.0167,153.4000
Victoria,Australia,2020-03-02T15:03:53,9,0,4,-37.8136,144.9631
"Santa Clara, CA",US,2020-03-02T15:03:54,9,0,1,37.3541,-121.9552
,Belgium,2020-03-02T15:03:54,8,0,1,50.8333,4.0000
British Columbia,Canada,2020-03-02T15:03:55,8,0,3,49.2827,-123.1207
,San Marino,2020-03-02T15:03:55,8,0,0,43.9424,12.4578
,Croatia,2020-03-02T15:03:56,7,0,0,45.1000,15.2000
,Greece,2020-03-02T15:03:56,7,0,0,39.0742,21.8243
New South Wales,Australia,2020-03-02T15:03:57,6,0,4,-33.8688,151.2093
,Ecuador,2020-03-02T15:03:57,6,0,0,-1.8312,-78.1834
,Finland,2020-03-02T15:03:58,6,0,1,64.0000,26.0000
,Iceland,2020-03-02T15:03:58,6,0,0,64.9631,-19.0208
,Oman,2020-03-02T15:03:59,6,0,1,21.0000,57.0000
,India,2020-03-02T15:03:59,5,0,3,21.0000,78.0000
,Mexico,2020-03-02T15:03:60,5,0,0,23.0000,-102.0000
,Denmark,2020-03-02T15:03:60,4,0,0,56.2639,9.5018
,Pakistan,2020-03-02T15:03:61,4,0,0,30.3753,69.3451
"Cook County, IL",US,2020-03-02T15:03:61,4,0,2,41.7377,-87.6976
"Snohomish County, WA",US,2020-03-02T15:03:62,4,1,0,48.0330,-121.8339
,Algeria,2020-03-02T15:03:62,3,0,0,28.0339,1.6596
South Australia,Australia,2020-03-02T15:03:63,3,0,2,-34.9285,138.6007
,Azerbaijan,2020-03-02T15:03:63,3,0,0,40.1431,47.5769
,Czech Republic,2020-03-02T15:03:64,3,0,0,49.8175,15.4730
,Georgia,2020-03-02T15:03:64,3,0,0,42.3154,43.3569
,Philippines,2020-03-02T15:03:65,3,1,1,13.0000,122.0000
,Qatar,2020-03-02T15:03:65,3,0,0,25.3548,51.1839
,Romania,2020-03-02T15:03:66,3,0,0,45.9432,24.9668
,Russia,2020-03-02T15:03:66,3,0,2,60.0000,90.0000
Western Australia,Australia,2020-03-02T15:03:67,2,1,0,-31.9505,115.8605
,Brazil,2020-03-02T15:03:67,2,0,0,-14.2350,-51.9253
,Egypt,2020-03-02T15:03:68,2,0,1,26.0000,30.0000
,Indonesia,2020-03-02T15:03:68,2,0,0,-0.7893,113.9213
,Portugal,2020-03-02T15:03:69,2,0,0,39.3999,-8.2245
"Portland, OR",US,2020-03-02T15:03:69,2,0,0,45.5051,-122.6750
