Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-03T23:23:03,13522,414,386
Guangdong,Mainland China,2020-02-03T23:23:03,725,0,21
Zhejiang,Mainland China,2020-02-03T23:23:03,724,0,43
Henan,Mainland China,2020-02-03T23:23:03,566,2,16
Hunan,Mainland China,2020-02-03T23:23:03,521,0,22
Anhui,Mainland China,2020-02-03T23:23:03,408,0,14
Jiangxi,Mainland China,2020-02-03T23:23:03,391,0,18
Chongqing,Mainland China,2020-02-03T23:23:03,337,2,9
Jiangsu,Mainland China,2020-02-03T23:23:04,271,0,8
Shandong,Mainland China,2020-02-03T23:23:04,259,0,7
Sichuan,Mainland China,2020-02-03T23:23:04,254,1,14
Beijing,Mainland China,2020-02-03T23:23:04,212,1,12
Shanghai,Mainland China,2020-02-03T23:23:05,203,1,10
Fujian,Mainland China,2020-02-03T23:23:05,179,0,1
Shaanxi,Mainland China,2020-02-03T23:23:05,128,0,0
Guangxi,Mainland China,2020-02-03T23:23:05,127,0,7
Heilongjiang,Mainland China,2020-02-03T23:23:06,121,2,2
Yunnan,Mainland China,2020-02-03T23:23:06,117,0,5
Hebei,Mainland China,2020-02-03T23:23:06,113,1,3
Liaoning,Mainland China,2020-02-03T23:23:06,74,0,1
Shanxi,Mainland China,2020-02-03T23:23:07,74,0,2
Hainan,Mainland China,2020-02-03T23:23:07,72,1,4
Tianjin,Mainland China,2020-02-03T23:23:07,60,0,1
Gansu,Mainland China,2020-02-03T23:23:07,55,0,3
Guizhou,Mainland China,2020-02-03T23:23:08,46,0,2
Inner Mongolia,Mainland China,2020-02-03T23:23:08,34,0,1
Jilin,Mainland China,2020-02-03T23:23:08,31,0,1
Ningxia,Mainland China,2020-02-03T23:23:08,31,0,1
Xinjiang,Mainland China,2020-02-03T23:23:09,24,0,0
,Japan,2020-02-03T23:23:09,20,0,1
,Thailand,2020-02-03T23:23:09,19,0,5
,Singapore,2020-02-03T23:23:09,18,0,0
Hong Kong,Hong Kong,2020-02-03T23:23:10,15,0,0
,South Korea,2020-02-03T23:23:10,15,0,0
Qinghai,Mainland China,2020-02-03T23:23:10,13,0,0
,Germany,2020-02-03T23:23:10,12,0,0
Taiwan,Taiwan,2020-02-03T23:23:11,10,0,0
Macau,Macau,2020-02-03T23:23:11,8,0,0
,Malaysia,2020-02-03T23:23:11,8,0,0
,Vietnam,2020-02-03T23:23:11,8,0,1
,France,2020-02-03T23:23:12,6,0,0
,United Arab Emirates,2020-02-03T23:23:12,5,0,0
New South Wales,Australia,2020-02-03T23:23:12,4,0,2
Victoria,Australia,2020-02-03T23:23:12,4,0,0
Ontario,Canada,2020-02-03T23:23:13,3,0,0
,India,2020-02-03T23:23:13,3,0,0
Queensland,Australia,2020-02-03T23:23:13,2,0,0
South Australia,Australia,2020-02-03T23:23:13,2,0,0
,Italy,2020-02-03T23:23:14,2,0,0
,Philippines,2020-02-03T23:23:14,2,1,0
,Russia,2020-02-03T23:23:14,2,0,0
,UK,2020-02-03T23:23:14,2,0,0
"Chicago, IL",US,2020-02-03T23:23:15,2,0,0
"San Benito, CA",US,2020-02-03T23:23:15,2,0,0
"Santa Clara, CA",US,2020-02-03T23:23:15,2,0,0
,Cambodia,2020-02-03T23:23:15,1,0,0
British Columbia,Canada,2020-02-03T23:23:16,1,0,0
,Finland,2020-02-03T23:23:16,1,0,0
Tibet,Mainland China,2020-02-03T23:23:16,1,0,0
,Nepal,2020-02-03T23:23:16,1,0,0
,Spain,2020-02-03T23:23:17,1,0,0
,Sri Lanka,2020-02-03T23:23:17,1,0,0
,Sweden,2020-02-03T23:23:17,1,0,0
"Boston, MA",US,2020-02-03T23:23:17,1,0,0
"Los Angeles, CA",US,2020-02-03T23:23:18,1,0,0
"Orange, CA",US,2020-02-03T23:23:18,1,0,0
"Seattle, WA",US,2020-02-03T23:23:18,1,0,0
"Tempe, AZ",US,2020-02-03T23:23:18,1,0,0
