Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-09T14:33:03,67743,3008,46488,30.9756,112.2707
,Italy,2020-03-09T14:33:03,9172,463,724,43.0000,12.0000
,South Korea,2020-03-09T14:33:04,7478,53,118,36.0000,128.0000
,Iran,2020-03-09T14:33:04,7161,237,2394,32.0000,53.0000
Guangdong,Mainland China,2020-03-09T14:33:05,1352,8,1260,23.3417,113.4244
Henan,Mainland China,2020-03-09T14:33:05,1272,22,1247,33.8820,113.6140
Zhejiang,Mainland China,2020-03-09T14:33:06,1215,1,1176,29.1832,120.0934
,France,2020-03-09T14:33:06,1209,19,12,47.0000,2.0000
,Germany,2020-03-09T14:33:07,1176,2,18,51.0000,9.0000
,Spain,2020-03-09T14:33:07,1073,28,32,40.0000,-4.0000
Hunan,Mainland China,2020-03-09T14:33:08,1018,4,979,27.6104,111.7088
Anhui,Mainland China,2020-03-09T14:33:08,990,6,984,31.8257,117.2264
Jiangxi,Mainland China,2020-03-09T14:33:09,935,1,923,27.6140,115.7221
Shandong,Mainland China,2020-03-09T14:33:09,758,6,700,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-09T14:33:10,696,6,40,35.4437,139.6380
Jiangsu,Mainland China,2020-03-09T14:33:10,631,0,621,32.9711,119.4550
Chongqing,Mainland China,2020-03-09T14:33:11,576,6,542,30.0572,107.8740
Sichuan,Mainland China,2020-03-09T14:33:11,539,3,466,30.6171,102.7103
,Japan,2020-03-09T14:33:12,511,17,76,36.0000,138.0000
Heilongjiang,Mainland China,2020-03-09T14:33:12,481,13,430,47.8620,127.7615
Beijing,Mainland China,2020-03-09T14:33:13,428,8,315,40.1824,116.4142
,Switzerland,2020-03-09T14:33:13,374,2,3,46.8182,8.2275
Shanghai,Mainland China,2020-03-09T14:33:14,342,3,315,31.2020,121.4491
,Netherlands,2020-03-09T14:33:14,321,3,0,52.1326,5.2913
,UK,2020-03-09T14:33:15,321,4,18,55.0000,-3.0000
Hebei,Mainland China,2020-03-09T14:33:15,318,6,307,38.0428,114.5149
Fujian,Mainland China,2020-03-09T14:33:16,296,1,295,26.0789,117.9874
Guangxi,Mainland China,2020-03-09T14:33:16,252,2,230,23.8298,108.7881
,Sweden,2020-03-09T14:33:17,248,0,1,63.0000,16.0000
Shaanxi,Mainland China,2020-03-09T14:33:17,245,1,227,35.1917,108.8701
,Belgium,2020-03-09T14:33:18,239,0,1,50.8333,4.0000
,Norway,2020-03-09T14:33:18,205,0,1,60.4720,8.4689
Yunnan,Mainland China,2020-03-09T14:33:19,174,2,170,24.9740,101.4870
Hainan,Mainland China,2020-03-09T14:33:19,168,6,159,19.1959,109.7453
,Singapore,2020-03-09T14:33:20,150,0,78,1.2833,103.8333
Guizhou,Mainland China,2020-03-09T14:33:20,146,2,123,26.8154,106.8748
Tianjin,Mainland China,2020-03-09T14:33:21,136,3,130,39.3054,117.3230
Shanxi,Mainland China,2020-03-09T14:33:21,133,0,127,37.5777,112.2922
,Austria,2020-03-09T14:33:22,131,0,2,47.5162,14.5501
Liaoning,Mainland China,2020-03-09T14:33:22,125,1,109,41.2956,122.6085
Gansu,Mainland China,2020-03-09T14:33:23,124,2,88,36.0611,103.8343
,Malaysia,2020-03-09T14:33:23,117,0,24,2.5000,112.5000
Hong Kong,Hong Kong,2020-03-09T14:33:24,115,3,59,22.3000,114.2000
"Westchester County, NY",US,2020-03-09T14:33:24,98,0,0,41.1220,-73.7949
,Bahrain,2020-03-09T14:33:25,95,0,14,26.0275,50.5500
