Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-06T14:23:04,67592,2931,42033,30.9756,112.2707
,South Korea,2020-03-06T14:23:04,6593,42,135,36.0000,128.0000
,Iran,2020-03-06T14:23:05,4747,124,913,32.0000,53.0000
,Italy,2020-03-06T14:23:05,4636,197,523,43.0000,12.0000
Guangdong,Mainland China,2020-03-06T14:23:06,1352,7,1216,23.3417,113.4244
Henan,Mainland China,2020-03-06T14:23:06,1272,22,1244,33.8820,113.6140
Zhejiang,Mainland China,2020-03-06T14:23:07,1215,1,1147,29.1832,120.0934
Hunan,Mainland China,2020-03-06T14:23:07,1018,4,955,27.6104,111.7088
Anhui,Mainland China,2020-03-06T14:23:08,990,6,979,31.8257,117.2264
Jiangxi,Mainland China,2020-03-06T14:23:08,935,1,909,27.6140,115.7221
Shandong,Mainland China,2020-03-06T14:23:09,758,6,618,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-06T14:23:09,696,6,40,35.4437,139.6380
,Germany,2020-03-06T14:23:10,670,0,17,51.0000,9.0000
,France,2020-03-06T14:23:10,653,9,12,47.0000,2.0000
Jiangsu,Mainland China,2020-03-06T14:23:11,631,0,594,32.9711,119.4550
Chongqing,Mainland China,2020-03-06T14:23:11,576,6,513,30.0572,107.8740
Sichuan,Mainland China,2020-03-06T14:23:12,539,3,442,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-06T14:23:12,481,13,396,47.8620,127.7615
Beijing,Mainland China,2020-03-06T14:23:13,422,8,299,40.1824,116.4142
,Japan,2020-03-06T14:23:13,420,6,46,36.0000,138.0000
,Spain,2020-03-06T14:23:14,400,5,2,40.0000,-4.0000
Shanghai,Mainland China,2020-03-06T14:23:14,342,3,306,31.2020,121.4491
Hebei,Mainland China,2020-03-06T14:23:15,318,6,305,38.0428,114.5149
Fujian,Mainland China,2020-03-06T14:23:15,296,1,284,26.0789,117.9874
Guangxi,Mainland China,2020-03-06T14:23:16,252,2,217,23.8298,108.7881
Shaanxi,Mainland China,2020-03-06T14:23:16,245,1,226,35.1917,108.8701
,Switzerland,2020-03-06T14:23:17,214,1,3,46.8182,8.2275
Yunnan,Mainland China,2020-03-06T14:23:17,174,2,170,24.9740,101.4870
Hainan,Mainland China,2020-03-06T14:23:18,168,6,158,19.1959,109.7453
,UK,2020-03-06T14:23:18,163,2,8,55.0000,-3.0000
Guizhou,Mainland China,2020-03-06T14:23:19,146,2,114,26.8154,106.8748
Tianjin,Mainland China,2020-03-06T14:23:19,136,3,128,39.3054,117.3230
Shanxi,Mainland China,2020-03-06T14:23:20,133,0,126,37.5777,112.2922
,Singapore,2020-03-06T14:23:20,130,0,78,1.2833,103.8333
,Netherlands,2020-03-06T14:23:21,128,1,0,52.1326,5.2913
Liaoning,Mainland China,2020-03-06T14:23:21,125,1,106,41.2956,122.6085
Gansu,Mainland China,2020-03-06T14:23:22,119,2,87,36.0611,103.8343
,Belgium,2020-03-06T14:23:22,109,0,1,50.8333,4.0000
,Norway,2020-03-06T14:23:23,108,0,0,60.4720,8.4689
Hong Kong,Hong Kong,2020-03-06T14:23:23,107,2,46,22.3000,114.2000
,Sweden,2020-03-06T14:23:24,101,0,0,63.0000,16.0000
Jilin,Mainland China,2020-03-06T14:23:24,93,1,90,43.6661,126.1923
,Malaysia,2020-03-06T14:23:25,83,0,22,2.5000,112.5000
Xinjiang,Mainland China,2020-03-06T14:23:25,76,3,71,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-06T14:23:26,75,1,65,44.0935,113.9448
Ningxia,Mainland China,2020-03-06T14:23:26,75,0,71,37.2692,106.1655
,Bahrain,2020-03-06T14:23:27,60,0,4,26.0275,50.5500
,Kuwait,2020-03-06T14:23:27,58,0,0,29.5000,47.7500
"King County, WA",US,2020-03-06T14:23:28,58,12,1,47.5480,-121.9836
,Austria,2020-03-06T14:23:28,55,0,0,47.5162,14.5501
,Thailand,2020-03-06T14:23:29,48,1,31,15.0000,101.0000
,Greece,2020-03-06T14:23:29,45,0,0,39.0742,21.8243
Taiwan,Taiwan,2020-03-06T14:23:30,45,1,12,23.7000,121.0000
Unassigned Location (From Diamond Princess),US,2020-03-06T14:23:30,45,0,0,35.4437,139.6380
,Iceland,2020-03-06T14:23:31,43,0,0,64.9631,-19.0208
,Iraq,2020-03-06T14:23:31,40,3,0,33.0000,44.0000
,India,2020-03-06T14:23:32,31,0,3,21.0000,78.0000
,United Arab Emirates,2020-03-06T14:23:32,29,0,5,24.0000,54.0000
New South Wales,Australia,2020-03-06T14:23:33,26,1,4,-33.8688,151.2093
"Toronto, ON",Canada,2020-03-06T14:23:33,24,0,2,43.6532,-79.3832
,Denmark,2020-03-06T14:23:34,23,0,1,56.2639,9.5018
,Lebanon,2020-03-06T14:23:34,22,0,1,33.8547,35.8623
British Columbia,Canada,2020-03-06T14:23:35,21,0,3,49.2827,-123.1207
,Israel,2020-03-06T14:23:35,21,0,2,31.0000,35.0000
,San Marino,2020-03-06T14:23:36,21,1,0,43.9424,12.4578
