Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-27T12:13:14,65596,2641,23383
,South Korea,2020-02-27T12:13:14,1766,13,22
Guangdong,Mainland China,2020-02-27T12:13:15,1347,7,890
Henan,Mainland China,2020-02-27T12:13:15,1272,20,1068
Zhejiang,Mainland China,2020-02-27T12:13:16,1205,1,932
Hunan,Mainland China,2020-02-27T12:13:16,1017,4,804
Anhui,Mainland China,2020-02-27T12:13:17,989,6,792
Jiangxi,Mainland China,2020-02-27T12:13:17,934,1,754
Shandong,Mainland China,2020-02-27T12:13:18,756,6,387
Diamond Princess cruise ship,Others,2020-02-27T12:13:18,705,4,10
,Italy,2020-02-27T12:13:19,655,17,45
Jiangsu,Mainland China,2020-02-27T12:13:19,631,0,498
Chongqing,Mainland China,2020-02-27T12:13:20,576,6,401
Sichuan,Mainland China,2020-02-27T12:13:20,534,3,321
Heilongjiang,Mainland China,2020-02-27T12:13:21,480,13,270
Beijing,Mainland China,2020-02-27T12:13:21,410,5,248
Shanghai,Mainland China,2020-02-27T12:13:22,337,3,276
Hebei,Mainland China,2020-02-27T12:13:22,317,6,274
Fujian,Mainland China,2020-02-27T12:13:23,296,1,228
Guangxi,Mainland China,2020-02-27T12:13:23,252,2,161
,Iran,2020-02-27T12:13:24,245,26,49
Shaanxi,Mainland China,2020-02-27T12:13:24,245,1,195
,Japan,2020-02-27T12:13:25,214,4,22
Yunnan,Mainland China,2020-02-27T12:13:25,174,2,150
Hainan,Mainland China,2020-02-27T12:13:26,168,5,131
Guizhou,Mainland China,2020-02-27T12:13:26,146,2,112
Tianjin,Mainland China,2020-02-27T12:13:27,136,3,102
Shanxi,Mainland China,2020-02-27T12:13:27,133,0,107
Liaoning,Mainland China,2020-02-27T12:13:28,121,1,93
Jilin,Mainland China,2020-02-27T12:13:28,93,1,67
,Singapore,2020-02-27T12:13:29,93,0,62
Hong Kong,Hong Kong,2020-02-27T12:13:29,92,2,24
Gansu,Mainland China,2020-02-27T12:13:30,91,2,81
Xinjiang,Mainland China,2020-02-27T12:13:30,76,2,43
Inner Mongolia,Mainland China,2020-02-27T12:13:31,75,0,43
Ningxia,Mainland China,2020-02-27T12:13:31,72,0,68
,Germany,2020-02-27T12:13:32,46,0,16
,Kuwait,2020-02-27T12:13:32,43,0,0
Unassigned Location (From Diamond Princess),US,2020-02-27T12:13:33,42,0,0
,Thailand,2020-02-27T12:13:33,40,0,22
,France,2020-02-27T12:13:34,38,2,11
,Bahrain,2020-02-27T12:13:34,33,0,0
Taiwan,Taiwan,2020-02-27T12:13:35,32,1,5
,Malaysia,2020-02-27T12:13:35,23,0,18
Qinghai,Mainland China,2020-02-27T12:13:36,18,0,18
,Vietnam,2020-02-27T12:13:36,16,0,16
,Spain,2020-02-27T12:13:37,15,0,2
,UK,2020-02-27T12:13:37,15,0,8
,United Arab Emirates,2020-02-27T12:13:38,13,0,4
Macau,Macau,2020-02-27T12:13:38,10,0,8
From Diamond Princess,Australia,2020-02-27T12:13:39,8,0,0
,Switzerland,2020-02-27T12:13:39,8,0,0
British Columbia,Canada,2020-02-27T12:13:40,7,0,3
,Iraq,2020-02-27T12:13:40,7,0,0
,Sweden,2020-02-27T12:13:41,7,0,0
Queensland,Australia,2020-02-27T12:13:41,5,0,1
"Toronto, ON",Canada,2020-02-27T12:13:42,5,0,2
New South Wales,Australia,2020-02-27T12:13:42,4,0,4
Victoria,Australia,2020-02-27T12:13:43,4,0,4
,Oman,2020-02-27T12:13:43,4,0,0
,Austria,2020-02-27T12:13:44,3,0,0
,Croatia,2020-02-27T12:13:44,3,0,0
,Greece,2020-02-27T12:13:45,3,0,0
,India,2020-02-27T12:13:45,3,0,3
,Israel,2020-02-27T12:13:46,3,0,1
,Philippines,2020-02-27T12:13:46,3,1,1
South Australia,Australia,2020-02-27T12:13:47,2,0,2
,Finland,2020-02-27T12:13:47,2,0,1
,Lebanon,2020-02-27T12:13:48,2,0,0
,Pakistan,2020-02-27T12:13:48,2,0,0
,Russia,2020-02-27T12:13:49,2,0,2
"Chicago, IL",US,2020-02-27T12:13:49,2,0,2
"Sacramento County, CA",US,2020-02-27T12:13:50,2,0,0
"San Benito, CA",US,2020-02-27T12:13:50,2,0,0
"San Diego County, CA",US,2020-02-27T12:13:51,2,0,1
"Santa Clara, CA",US,2020-02-27T12:13:51,2,0,1
,Afghanistan,2020-02-27T12:13:52,1,0,0
,Algeria,2020-02-27T12:13:52,1,0,0
,Belgium,2020-02-27T12:13:53,1,0,1
,Brazil,2020-02-27T12:13:53,1,0,0
,Cambodia,2020-02-27T12:13:54,1,0,1
"London, ON",Canada,2020-02-27T12:13:54,1,0,1
,Denmark,2020-02-27T12:13:55,1,0,0
,Egypt,2020-02-27T12:13:55,1,0,0
,Estonia,2020-02-27T12:13:56,1,0,0
,Georgia,2020-02-27T12:13:56,1,0,0
Tibet,Mainland China,2020-02-27T12:13:57,1,0,1
,Nepal,2020-02-27T12:13:57,1,0,1
,Netherlands,2020-02-27T12:13:58,1,0,0
,North Macedonia,2020-02-27T12:13:58,1,0,0
,Norway,2020-02-27T12:13:59,1,0,0
,Romania,2020-02-27T12:13:59,1,0,0
,San Marino,2020-02-27T12:13:60,1,0,0
,Sri Lanka,2020-02-27T12:13:60,1,0,1
"Boston, MA",US,2020-02-27T12:13:61,1,0,0
"Humboldt County, CA",US,2020-02-27T12:13:61,1,0,0
"Los Angeles, CA",US,2020-02-27T12:13:62,1,0,0
"Madison, WI",US,2020-02-27T12:13:62,1,0,0
"Orange, CA",US,2020-02-27T12:13:63,1,0,0
"San Antonio, TX",US,2020-02-27T12:13:63,1,0,0
"Seattle, WA",US,2020-02-27T12:13:64,1,0,1
"Tempe, AZ",US,2020-02-27T12:13:64,1,0,1
"Lackland, TX (From Diamond Princess)",US,2020-02-27T12:13:65,0,0,0
"Omaha, NE (From Diamond Princess)",US,2020-02-27T12:13:65,0,0,0
"Travis, CA (From Diamond Princess)",US,2020-02-27T12:13:66,0,0,0
