Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-15T23:13:05,56249,1596,5623
Guangdong,Mainland China,2020-02-15T23:13:05,1294,2,410
Henan,Mainland China,2020-02-15T23:13:06,1212,13,391
Zhejiang,Mainland China,2020-02-15T23:13:06,1162,0,428
Hunan,Mainland China,2020-02-15T23:13:07,1001,2,425
Anhui,Mainland China,2020-02-15T23:13:07,950,6,221
Jiangxi,Mainland China,2020-02-15T23:13:08,913,1,210
Jiangsu,Mainland China,2020-02-15T23:13:08,604,0,186
Chongqing,Mainland China,2020-02-15T23:13:09,544,5,184
Shandong,Mainland China,2020-02-15T23:13:09,532,2,156
Sichuan,Mainland China,2020-02-15T23:13:10,470,1,119
Heilongjiang,Mainland China,2020-02-15T23:13:10,425,11,68
Beijing,Mainland China,2020-02-15T23:13:11,375,4,98
Shanghai,Mainland China,2020-02-15T23:13:11,326,1,124
Hebei,Mainland China,2020-02-15T23:13:12,291,3,101
Fujian,Mainland China,2020-02-15T23:13:12,285,0,71
Diamond Princess cruise ship,Others,2020-02-15T23:13:13,285,0,0
Guangxi,Mainland China,2020-02-15T23:13:13,235,2,44
Shaanxi,Mainland China,2020-02-15T23:13:14,232,0,60
Yunnan,Mainland China,2020-02-15T23:13:14,168,0,42
Hainan,Mainland China,2020-02-15T23:13:15,162,4,39
Guizhou,Mainland China,2020-02-15T23:13:15,143,1,41
Shanxi,Mainland China,2020-02-15T23:13:16,128,0,46
Tianjin,Mainland China,2020-02-15T23:13:16,122,3,37
Liaoning,Mainland China,2020-02-15T23:13:17,119,1,31
Gansu,Mainland China,2020-02-15T23:13:17,90,2,49
Jilin,Mainland China,2020-02-15T23:13:18,88,1,26
,Singapore,2020-02-15T23:13:18,72,0,18
Ningxia,Mainland China,2020-02-15T23:13:19,70,0,33
Xinjiang,Mainland China,2020-02-15T23:13:19,70,1,10
Inner Mongolia,Mainland China,2020-02-15T23:13:20,68,0,7
Hong Kong,Hong Kong,2020-02-15T23:13:20,56,1,1
,Japan,2020-02-15T23:13:21,43,1,12
,Thailand,2020-02-15T23:13:21,33,0,12
,South Korea,2020-02-15T23:13:22,28,0,9
,Malaysia,2020-02-15T23:13:22,22,0,7
Qinghai,Mainland China,2020-02-15T23:13:23,18,0,13
Taiwan,Taiwan,2020-02-15T23:13:23,18,0,2
,Germany,2020-02-15T23:13:24,16,0,1
,Vietnam,2020-02-15T23:13:24,16,0,7
,France,2020-02-15T23:13:25,12,1,4
Macau,Macau,2020-02-15T23:13:25,10,0,3
,UK,2020-02-15T23:13:26,9,0,1
,United Arab Emirates,2020-02-15T23:13:26,8,0,3
Queensland,Australia,2020-02-15T23:13:27,5,0,0
New South Wales,Australia,2020-02-15T23:13:27,4,0,4
Victoria,Australia,2020-02-15T23:13:28,4,0,4
British Columbia,Canada,2020-02-15T23:13:28,4,0,0
,India,2020-02-15T23:13:29,3,0,0
,Italy,2020-02-15T23:13:29,3,0,0
,Philippines,2020-02-15T23:13:30,3,1,1
South Australia,Australia,2020-02-15T23:13:30,2,0,0
"Toronto, ON",Canada,2020-02-15T23:13:31,2,0,0
,Russia,2020-02-15T23:13:31,2,0,2
,Spain,2020-02-15T23:13:32,2,0,2
"Chicago, IL",US,2020-02-15T23:13:32,2,0,2
"San Benito, CA",US,2020-02-15T23:13:33,2,0,0
"San Diego County, CA",US,2020-02-15T23:13:33,2,0,0
"Santa Clara, CA",US,2020-02-15T23:13:34,2,0,0
,Belgium,2020-02-15T23:13:34,1,0,0
,Cambodia,2020-02-15T23:13:35,1,0,1
"London, ON",Canada,2020-02-15T23:13:35,1,0,1
,Egypt,2020-02-15T23:13:36,1,0,0
,Finland,2020-02-15T23:13:36,1,0,1
Tibet,Mainland China,2020-02-15T23:13:37,1,0,1
,Nepal,2020-02-15T23:13:37,1,0,1
,Sri Lanka,2020-02-15T23:13:38,1,0,1
,Sweden,2020-02-15T23:13:38,1,0,0
"Boston, MA",US,2020-02-15T23:13:39,1,0,0
"Los Angeles, CA",US,2020-02-15T23:13:39,1,0,0
"Madison, WI",US,2020-02-15T23:13:40,1,0,0
"Orange, CA",US,2020-02-15T23:13:40,1,0,0
"San Antonio, TX",US,2020-02-15T23:13:41,1,0,0
"Seattle, WA",US,2020-02-15T23:13:41,1,0,1
"Tempe, AZ",US,2020-02-15T23:13:42,1,0,0
