Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2/1/2020 11:53,7153,249,168
Zhejiang,Mainland China,2/1/2020 11:53,599,0,21
Guangdong,Mainland China,2/1/2020 11:53,535,0,14
Henan,Mainland China,2/1/2020 11:54,422,2,3
Hunan,Mainland China,2/1/2020 11:54,389,0,8
Anhui,Mainland China,2/1/2020 11:54,297,0,5
Jiangxi,Mainland China,2/1/2020 11:55,286,0,9
Chongqing,Mainland China,2/1/2020 11:55,247,1,3
Sichuan,Mainland China,2/1/2020 11:55,207,1,3
Shandong,Mainland China,2/1/2020 11:56,206,0,3
Jiangsu,Mainland China,2/1/2020 11:56,202,0,6
Shanghai,Mainland China,2/1/2020 11:56,169,1,10
Beijing,Mainland China,2/1/2020 11:57,168,1,9
Fujian,Mainland China,2/1/2020 11:57,144,0,0
Shaanxi,Mainland China,2/1/2020 11:57,101,0,0
Guangxi,Mainland China,2/1/2020 11:58,100,0,2
Hebei,Mainland China,2/1/2020 11:58,96,1,0
Yunnan,Mainland China,2/1/2020 11:58,93,0,2
Heilongjiang,Mainland China,2/1/2020 11:59,80,2,2
Liaoning,Mainland China,2/1/2020 11:59,64,0,1
Hainan,Mainland China,2/1/2020 11:59,62,1,1
Shanxi,Mainland China,2/1/2020 11:60,47,0,1
Tianjin,Mainland China,2/1/2020 11:60,41,0,0
Gansu,Mainland China,2/1/2020 11:60,40,0,0
Guizhou,Mainland China,2/1/2020 11:61,29,0,2
Ningxia,Mainland China,2/1/2020 11:61,26,0,0
Inner Mongolia,Mainland China,2/1/2020 11:61,23,0,1
,Japan,2/1/2020 11:62,20,0,1
,Thailand,2/1/2020 11:62,19,0,5
Xinjiang,Mainland China,2/1/2020 11:62,18,0,0
Jilin,Mainland China,2/1/2020 11:63,17,0,1
,Singapore,2/1/2020 11:63,16,0,0
Hong Kong,Hong Kong,2/1/2020 11:63,13,0,0
,South Korea,2/1/2020 11:64,12,0,0
Taiwan,Taiwan,2/1/2020 11:64,10,0,0
Qinghai,Mainland China,2/1/2020 11:64,9,0,0
,Malaysia,2/1/2020 11:65,8,0,0
,Germany,2/1/2020 11:65,8,0,0
Macau,Macau,2/1/2020 11:65,7,0,0
,France,2/1/2020 11:66,6,0,0
,Vietnam,2/1/2020 11:66,6,0,1
New South Wales,Australia,2/1/2020 11:66,4,0,2
Victoria,Australia,2/1/2020 11:67,4,0,0
,United Arab Emirates,2/1/2020 11:67,4,0,0
Queensland,Australia,2/1/2020 11:67,3,0,0
Ontario,Canada,2/1/2020 11:68,3,0,0
,Italy,2/1/2020 11:68,2,0,0
,Russia,2/1/2020 11:68,2,0,0
,UK,2/1/2020 11:69,2,0,0
"Chicago, IL",US,2/1/2020 11:69,2,0,0
South Australia,Australia,2/1/2020 11:69,1,0,0
,Cambodia,2/1/2020 11:70,1,0,0
British Columbia,Canada,2/1/2020 11:70,1,0,0
,Finland,2/1/2020 11:70,1,0,0
,India,2/1/2020 11:71,1,0,0
Tibet,Mainland China,2/1/2020 11:71,1,0,0
,Nepal,2/1/2020 11:71,1,0,0
,Philippines,2/1/2020 11:72,1,0,0
,Spain,2/1/2020 11:72,1,0,0
,Sri Lanka,2/1/2020 11:72,1,0,0
,Sweden,2/1/2020 11:73,1,0,0
"Boston, MA",US,2/1/2020 11:73,1,0,0
"Los Angeles, CA",US,2/1/2020 11:73,1,0,0
"Orange, CA",US,2/1/2020 11:74,1,0,0
"Santa Clara, CA",US,2/1/2020 11:74,1,0,0
"Seattle, WA",US,2/1/2020 11:74,1,0,0
"Tempe, AZ",US,2/1/2020 11:75,1,0,0
