Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-23T11:33:03,64084,2346,15343
Guangdong,Mainland China,2020-02-23T11:33:03,1342,6,755
Henan,Mainland China,2020-02-23T11:33:03,1271,19,868
Zhejiang,Mainland China,2020-02-23T11:33:04,1205,1,760
Hunan,Mainland China,2020-02-23T11:33:04,1016,4,714
Anhui,Mainland China,2020-02-23T11:33:04,989,6,637
Jiangxi,Mainland China,2020-02-23T11:33:05,934,1,613
Shandong,Mainland China,2020-02-23T11:33:05,754,4,321
Diamond Princess cruise ship,Others,2020-02-23T11:33:05,691,3,0
Jiangsu,Mainland China,2020-02-23T11:33:06,631,0,418
,South Korea,2020-02-23T11:33:06,602,6,18
Chongqing,Mainland China,2020-02-23T11:33:06,575,6,335
Sichuan,Mainland China,2020-02-23T11:33:07,526,3,261
Heilongjiang,Mainland China,2020-02-23T11:33:07,480,12,222
Beijing,Mainland China,2020-02-23T11:33:07,399,4,189
Shanghai,Mainland China,2020-02-23T11:33:08,335,3,249
Hebei,Mainland China,2020-02-23T11:33:08,311,6,219
Fujian,Mainland China,2020-02-23T11:33:08,293,1,170
Guangxi,Mainland China,2020-02-23T11:33:09,249,2,106
Shaanxi,Mainland China,2020-02-23T11:33:09,245,1,163
Yunnan,Mainland China,2020-02-23T11:33:09,174,2,115
Hainan,Mainland China,2020-02-23T11:33:10,168,5,106
,Italy,2020-02-23T11:33:10,155,3,2
,Japan,2020-02-23T11:33:10,147,1,22
Guizhou,Mainland China,2020-02-23T11:33:11,146,2,102
Tianjin,Mainland China,2020-02-23T11:33:11,135,3,81
Shanxi,Mainland China,2020-02-23T11:33:11,132,0,88
Liaoning,Mainland China,2020-02-23T11:33:12,121,1,73
Gansu,Mainland China,2020-02-23T11:33:12,91,2,78
Jilin,Mainland China,2020-02-23T11:33:12,91,1,54
,Singapore,2020-02-23T11:33:13,89,0,51
Xinjiang,Mainland China,2020-02-23T11:33:13,76,2,28
Inner Mongolia,Mainland China,2020-02-23T11:33:13,75,0,27
Hong Kong,Hong Kong,2020-02-23T11:33:14,74,2,11
Ningxia,Mainland China,2020-02-23T11:33:14,71,0,56
,Iran,2020-02-23T11:33:14,43,8,0
,Thailand,2020-02-23T11:33:15,35,0,21
Taiwan,Taiwan,2020-02-23T11:33:15,28,1,2
,Malaysia,2020-02-23T11:33:15,22,0,15
Qinghai,Mainland China,2020-02-23T11:33:16,18,0,18
,Germany,2020-02-23T11:33:16,16,0,14
,Vietnam,2020-02-23T11:33:16,16,0,14
,United Arab Emirates,2020-02-23T11:33:17,13,0,4
,France,2020-02-23T11:33:17,12,1,4
"Omaha, NE (From Diamond Princess)",US,2020-02-23T11:33:17,11,0,0
Macau,Macau,2020-02-23T11:33:18,10,0,6
,UK,2020-02-23T11:33:18,9,0,8
From Diamond Princess,Australia,2020-02-23T11:33:18,7,0,0
British Columbia,Canada,2020-02-23T11:33:19,6,0,0
Queensland,Australia,2020-02-23T11:33:19,5,0,1
"Travis, CA (From Diamond Princess)",US,2020-02-23T11:33:19,5,0,0
New South Wales,Australia,2020-02-23T11:33:20,4,0,4
Victoria,Australia,2020-02-23T11:33:20,4,0,4
,India,2020-02-23T11:33:20,3,0,3
,Philippines,2020-02-23T11:33:21,3,1,1
South Australia,Australia,2020-02-23T11:33:21,2,0,2
"Toronto, ON",Canada,2020-02-23T11:33:21,2,0,2
,Russia,2020-02-23T11:33:22,2,0,2
,Spain,2020-02-23T11:33:22,2,0,2
"Chicago, IL",US,2020-02-23T11:33:22,2,0,2
"Lackland, TX (From Diamond Princess)",US,2020-02-23T11:33:23,2,0,0
"San Benito, CA",US,2020-02-23T11:33:23,2,0,0
"San Diego County, CA",US,2020-02-23T11:33:23,2,0,1
"Santa Clara, CA",US,2020-02-23T11:33:24,2,0,1
,Belgium,2020-02-23T11:33:24,1,0,1
,Cambodia,2020-02-23T11:33:24,1,0,1
"London, ON",Canada,2020-02-23T11:33:25,1,0,1
,Egypt,2020-02-23T11:33:25,1,0,0
,Finland,2020-02-23T11:33:25,1,0,1
From Diamond Princess,Israel,2020-02-23T11:33:26,1,0,0
,Lebanon,2020-02-23T11:33:26,1,0,0
Tibet,Mainland China,2020-02-23T11:33:26,1,0,1
,Nepal,2020-02-23T11:33:27,1,0,1
,Sri Lanka,2020-02-23T11:33:27,1,0,1
,Sweden,2020-02-23T11:33:27,1,0,0
"Boston, MA",US,2020-02-23T11:33:28,1,0,0
"Humboldt County, CA",US,2020-02-23T11:33:28,1,0,0
"Los Angeles, CA",US,2020-02-23T11:33:28,1,0,0
"Madison, WI",US,2020-02-23T11:33:29,1,0,0
"Orange, CA",US,2020-02-23T11:33:29,1,0,0
"Sacramento County, CA",US,2020-02-23T11:33:29,1,0,0
"San Antonio, TX",US,2020-02-23T11:33:30,1,0,0
"Seattle, WA",US,2020-02-23T11:33:30,1,0,1
"Tempe, AZ",US,2020-02-23T11:33:30,1,0,0
None,Iraq,2020-02-23T11:33:31,0,0,0
