Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-02T23:43:02,11177,350,295
Zhejiang,Mainland China,2020-02-02T23:43:02,661,0,32
Guangdong,Mainland China,2020-02-02T23:43:02,632,0,15
Henan,Mainland China,2020-02-02T23:43:03,493,2,10
Hunan,Mainland China,2020-02-02T23:43:03,463,0,16
Anhui,Mainland China,2020-02-02T23:43:03,340,0,7
Jiangxi,Mainland China,2020-02-02T23:43:04,333,0,12
Chongqing,Mainland China,2020-02-02T23:43:04,300,2,7
Jiangsu,Mainland China,2020-02-02T23:43:04,236,0,7
Sichuan,Mainland China,2020-02-02T23:43:05,231,1,11
Shandong,Mainland China,2020-02-02T23:43:05,230,0,6
Beijing,Mainland China,2020-02-02T23:43:05,191,1,9
Shanghai,Mainland China,2020-02-02T23:43:06,182,1,10
Fujian,Mainland China,2020-02-02T23:43:06,159,0,0
Shaanxi,Mainland China,2020-02-02T23:43:06,116,0,0
Guangxi,Mainland China,2020-02-02T23:43:07,111,0,2
Yunnan,Mainland China,2020-02-02T23:43:07,105,0,3
Hebei,Mainland China,2020-02-02T23:43:07,104,1,3
Heilongjiang,Mainland China,2020-02-02T23:43:08,95,2,2
Liaoning,Mainland China,2020-02-02T23:43:08,70,0,1
Shanxi,Mainland China,2020-02-02T23:43:08,66,0,3
Hainan,Mainland China,2020-02-02T23:43:09,64,1,4
Gansu,Mainland China,2020-02-02T23:43:09,51,0,3
Tianjin,Mainland China,2020-02-02T23:43:09,48,0,1
Guizhou,Mainland China,2020-02-02T23:43:10,38,0,2
Ningxia,Mainland China,2020-02-02T23:43:10,28,0,0
Inner Mongolia,Mainland China,2020-02-02T23:43:10,27,0,1
Jilin,Mainland China,2020-02-02T23:43:11,23,0,1
Xinjiang,Mainland China,2020-02-02T23:43:11,21,0,0
,Japan,2020-02-02T23:43:11,20,0,1
,Thailand,2020-02-02T23:43:12,19,0,5
,Singapore,2020-02-02T23:43:12,18,0,0
Hong Kong,Hong Kong,2020-02-02T23:43:12,15,0,0
,South Korea,2020-02-02T23:43:13,15,0,0
Qinghai,Mainland China,2020-02-02T23:43:13,11,0,0
,Germany,2020-02-02T23:43:13,10,0,0
Taiwan,Taiwan,2020-02-02T23:43:14,10,0,0
Macau,Macau,2020-02-02T23:43:14,8,0,0
,Malaysia,2020-02-02T23:43:14,8,0,0
,France,2020-02-02T23:43:15,6,0,0
,Vietnam,2020-02-02T23:43:15,6,0,1
,United Arab Emirates,2020-02-02T23:43:15,5,0,0
New South Wales,Australia,2020-02-02T23:43:16,4,0,2
Victoria,Australia,2020-02-02T23:43:16,4,0,0
Ontario,Canada,2020-02-02T23:43:16,3,0,0
Queensland,Australia,2020-02-02T23:43:17,2,0,0
South Australia,Australia,2020-02-02T23:43:17,2,0,0
,India,2020-02-02T23:43:17,2,0,0
,Italy,2020-02-02T23:43:18,2,0,0
,Philippines,2020-02-02T23:43:18,2,1,0
,Russia,2020-02-02T23:43:18,2,0,0
,UK,2020-02-02T23:43:19,2,0,0
"Chicago, IL",US,2020-02-02T23:43:19,2,0,0
,Cambodia,2020-02-02T23:43:19,1,0,0
British Columbia,Canada,2020-02-02T23:43:20,1,0,0
,Finland,2020-02-02T23:43:20,1,0,0
Tibet,Mainland China,2020-02-02T23:43:20,1,0,0
,Nepal,2020-02-02T23:43:21,1,0,0
,Spain,2020-02-02T23:43:21,1,0,0
,Sri Lanka,2020-02-02T23:43:21,1,0,0
,Sweden,2020-02-02T23:43:22,1,0,0
"Boston, MA",US,2020-02-02T23:43:22,1,0,0
"Los Angeles, CA",US,2020-02-02T23:43:22,1,0,0
"Orange, CA",US,2020-02-02T23:43:23,1,0,0
"Santa Clara, CA",US,2020-02-02T23:43:23,1,0,0
"Seattle, WA",US,2020-02-02T23:43:23,1,0,0
"Tempe, AZ",US,2020-02-02T23:43:24,1,0,0
